sentence,difficulty_label
In deutschen Wäldern wachsen über 90 Milliarden Bäume.,B1
Nach dem Brexit wird kein Brite mehr ein Free-Interrail-Ticket bekommen können.,B2
Im nichtelektronischen Zeitalter sah das anders aus.,C1
Schon Aristoteles oder Plato oder Cicero haben das als unsittlich verworfen.,C1
Der Körper wird durch sportliches Training in Form gebracht oder durch chirurgische Eingriffe korrigiert und ver- schönert.,C2
"Er konstruierte ein Bestattungsfahrrad, das regionale Bestatter jederzeit anfordern können.",C1
Aus diesen Gründen sind die meisten 1:1-Projekte an Regelschulen auch Projekte auf Zeit gewesen und konnten sich nicht dauerhaft installieren.,C2
"Seit die Katze auf dem Turm lebt, gibt es weniger Tauben, die Treppen und Fenstersimse schmutzig machen.",B2
"Es gibt viel weniger Insekten, die Schwalben sind hier bedroht, von der leisen, sauberen Zivilisation, nicht vom Krieg.",C2
"Da wird immer Walzer getanzt, vor allen Dingen schon bei der Eröffnung gibt es immer diesen Eröffnungswalzer.",B1
Er ist noch in seinem Zimmer.,A1
"Ja, und die neue öffentliche Toilette in der chinesischen Hauptstadt Peking ist wirklich eine Toilette mit allem Pipapo.",B1
Ist mal was ganz anderes.,A2
Es fehlt einfach ein Stück was im Leben.,B1
"Die Bücher in etwa 250 Sprachen aus sechs Jahrhunderten – darunter auch sehr viele Sprachen, die vom Aussterben bedroht sind – sind somit ein Teil des Weltkulturerbes.",C1
Ich fühlte mich damals regelrecht durch den Fleischwolf gedreht.,C2
"Um 7 Uhr fährt Hannah mit dem Bus zur Bibliothek, denn um 8 Uhr beginnt die Arbeit.",A2
Ein Donner braucht für einen Kilometer circa drei Sekunden.,B1
Für ihre Großprojekte arbeitet sie gerne mit Künstlern oder Handwerkern zusammen.,B2
Drei neue Rezepte stellt er dann online.,A2
Auf der dänischen Insel Bornholm gibt es eine lustige Tradition.,A2
"Dieses Dorf hat Alexander Kaiser viel zu verdanken , auch seiner Tochter.",B1
"Die müssen gemacht werden, aber ich trau mich auch nicht zu sagen, weil dann heißt es: Ach ja, schön, dann können wir ja gleich loslegen .",B2
Mittlerweile bringen die rumpelnden Züge bis zu 800. 000 Gäste pro Jahr auf den Gipfel der Rigi.,B2
Wir sind im Garten der „ Manufaktur von Blythen“.,A2
"Ein Land hat da, so Wan-Hsin Liu, eine Nische für sich entdeckt: „Vietnam ist ein sehr großer Robusta-Kaffeeproduzent.",B1
Außerdem gibt es auch eine Gesundheitsstation: Mit speziellen Geräten können Puls oder Blutdruck kontrolliert werden.,B2
Helmut Reichenauer hat das Museum mitbegründet .,A2
Sie hat etwas in der Hand.,A1
"Berliner Backkunst-Blog Blogger, die ihre kleinen Kunstwerke nach dem Backen fotografieren und die Rezepte ins Netz stellen, haben immer mehr Fans.",C1
Jedes der drei Länder ist ungefähr 25-mal so groß.,B1
"Dürfen Sie sich aussuchen, ob sie ‘ne Vorliebe nehmen oder ‘ne Macke, weil ich bin so hektisch, dass schon Buddha angerufen hat, gesagt hat: ‚Mach mal langsam!",B2
Außerdem machen sie viel öfter Sport und gehen häufiger spazieren.,B1
"Also, man hat ja den Dom, den sieht man eigentlich so jeden Tag, und hier wird er noch mal richtig präsent in allen Facetten , die auch die Geschichte des Domes letztendlich widerspiegeln .",C1
Schönen guten Morgen!,A1
"Der Schauplatz ""Familie"" beispielsweise spielt trotz seines schrittweisen Rückzugs aus Sitcoms eine weiterhin wichtige Rolle in Seifenopern.",C2
Das deutsch-amerikanische Start-up Datawallet hat dafür ein Geschäftsmodell entwickelt.,B2
Bei allen unseren Bewegungen helfen uns 656 Muskeln.,A1
"Aber was macht ein Hai, wenn er Karies hat?",B1
Man solle sie als Herausforderung betrachten.,C1
Die Idee stammt von den Künstlern Frank und Patrik Riklin.,B1
Denn mit negativen Schlagzeilen lassen sich mehr Klicks generieren und Nutzendenzahlen steigern.,C1
"Die Pflanze mit großen Blättern hat lange Stiele, die man essen kann.",B1
"Und auf Ben folgen Paul, Leon, Finn/Fynn (mit „i“ oder „y“) und Elias.",A1
Also möchte sie in die Bibliothek gehen und lernen.,A1
Auf dem Foto ist eine Stadt am Meer.,A1
"In Wirklichkeit dauert das Jahr aber 365 Tage, 5 Stunden und ungefähr 49 Minuten.",B1
"Seit 2010 ist die Abgasuntersuchung, kurz AU, fester Bestandteil der Hauptuntersuchung.",B2
“ Erna ist jetzt sehr traurig.,A1
Eine eindrucksvolle Zahl zum Schluss: 100 Billionen Bakterien leben in unserem Darm.,B2
"Und diese Symbole passen ideal zum Osterfest, das im Frühling gefeiert wird.",B1
"Hinzu kommt, dass die Hauptstadtbevölkerung jedes Jahr um rund 40. 000 Menschen anwächst – der Neubau von Wohnungen kommt da nicht hinterher .",C1
Hinter jedem Zahn stehen schon neue Zähne bereit.,B2
"Der Name ist seltsam, denn ein Beutel ist eigentlich aus Stoff, Leder oder Plastik.",B1
Zwischen: Du bist Vorbild und du bist Vollidiot .,B2
"Aber kann auch die »Software« des Menschen verbessert werden – ist es möglich, die ganz normalen Denk- und Lernprozesse in unseren Köpfen zu »tunen«?",C2
"Daher enthalten sie möglicherweise ungesehene Elemente, die zum Verständnis, zur Erläuterung, vielleicht ja auch zur Richtigstellung von Globalisierungsprozessen einen Beitrag leisten können.",C1
"Facebook und Google haben leichtes Spiel : Wer auf den Plattformen Daten hinterlässt, der gibt freiwillig Informationen preis .",B2
"Durch unermüdlichen Fleiß, intensives Lernen und – wie ich es ausdrücken möchte – oftmals unter Mangelbedingungen, habe ich mich allmählich emporgearbeitet.",C2
"Toll, dass Sie es fünfmal probiert haben‘.",B1
"Übrigens, wenn Sie gerne radeln und die Donau kennenlernen möchten, dann ist der Donauradweg perfekt für Sie!",B1
Hier geht es beschaulich zu .,A2
Und an manchen Orten werden sogar Wettbewerbe im Suchen nach Goldmünzen organisiert.,B2
"Bergpanoramen, Volksfeste in Tracht und Bierkrüge werden zu Symbolen Bayerns.",C1
"Bei dem Absturz hat Juliane ihre Brille verloren, am Körper trägt sie ein dünnes Patchwork-Kleid, an den Füßen nur noch eine einzelne weiße Sandale.",C2
"Doch wer war sie, die geheimnisvolle Markgräfin?",C1
Von den restlichen 40 % bevorzugen die meisten italienische Kaffespezialitäten wie Latte Macchiato oder Cappuccino.,B2
"Hier haben wir es mit Generationen von Rauch- und Mehlschwalben zu tun, die sich wie Menschen vermehren und Familiengeschichten und Abstammungslinien haben.",C2
"Bei Weichkäse sind das mehrere Tage bis Wochen, bei Schnitt- und Hartkäse mehrere Monate bis sogar Jahre.",B2
Sie ist Spezialistin für ayurvedische Massagen .,A2
Sie liebt Herausforderungen: Ihre Arbeiten sollen von allen Seiten gut aussehen.,B2
"Zwei Wochen durch vier europäische Länder, bevor es mit vielen neuen Eindrücken zurück nach Schottland geht.",B1
"Meine Freunde wohnen auch alle hier“, sagt Mirko.",A2
Und: Sie haben Freude am Kochen.,A2
Denn die Nachfrage überstieg bei Weitem das Angebot.,C1
“ Trotz vieler Parallelen: Adolf wollte nicht wie sein Vater sein.,C1
Die Hochzeitsplanerin und das künftige Brautpaar in der Hochzeits suite – kurz löst sich die Anspannung der letzten Wochen.,B2
Die „Häntzschelstiege“ gehört zu den beliebtesten Herausforderungen der Bergsteiger.,B2
Mehr Ausrüstung braucht man zum Streetfishing also nicht.,B1
"Oh nein, es ist 10:13 Uhr.",A1
Lotta und ihr Vater fahren zum Arzt.,A1
Marc Kromer ist Grafikdesigner .,A1
In diesem kleinen Pazifikstaat können die Einwohner seit einiger Zeit mit Donald-Duck- und Micky-Maus-Münzen bezahlen.,B2
"Er sieht also kein Tageslicht, sondern arbeitet bei künstlichem Licht.",B2
"Markenvertrauen kann erschüttert werden, es darf nur nicht mehrfach erschüttert werden.",C1
"Nun können andere Stoffe hervortreten, wie etwa das orangefarbene Carotinoid.",C1
Deutsch gehört zu den langsamen Sprachen.,A2
"Wir grüßen uns, das ist aber auch schon viel wert .",A2
"Nicht gerade geeignet als Haustier, oder?",B1
Plötzlich bemerkt sie eine Gruppe von Menschen.,A2
"Das war die Firma Einstein, die dem Vater und dem Onkel von Albert Einstein gehörte.",B1
Dabei war der Start in eine nationale Profifußballliga alles andere als einfach.,B2
Lotta und ihr Vater fahren zu einem anderen Arzt.,A1
"Der Gang ins Dunkel, das ist der Weg zu Kaschemmen, Bordellen, in die Armutsviertel, die heruntergekommenen Vororte, den sozialen Abstieg.",C2
Du bist doch meine beste Freundin.,A1
Allerdings auch bald die EU-Mitgliedschaft Schottlands.,B1
"Wer es nicht zeigte, hatte mit dieser Gruppe „nichts am Hut“.",C1
"“

Am nächsten Tag fährt Erna auf das Festival.",A1
"Sport zu treiben, gilt als gesund.",B1
"“ Ob als Hintergrund für eine Welt, in der alles noch seine Ordnung hat, oder als Gegenstand ehrfürchtiger Gesänge: Der Wald steht für reine Natur und Ursprünglichkeit.",C1
Dann nehmen sie ihre Sachen und gehen zum Boot.,A2
"Und dass das nicht schlecht war, beweisen die Speisekarten in bayerischen Spitzenrestaurants: Aus den Arme-Leute-Gerichten von anno dazumal sind inzwischen bekannte Spezialitäten geworden, nach denen sich Feinschmecker die Finger lecken .",C1
Mona und Amira gehen zur Polizei.,A1
"Der Kontrollverlust, dass Schüler frei und unmittelbar mit der Außenwelt kommunizieren können, stellt für Schulen und ihre Kultur eine Zäsur dar.",C2
"Hier fährt man teils auf Feldwegen, teils am oder auf dem Deich.",B1
Und um wieviel teurer wird das Zuhause von Jenny Kopf?,B1
Dann nimmt Andreas den Ball und fragt: „Wollen wir Fußball spielen?,A1
Für die Figuren werden die Narzissen von Hand gepflückt .,B1
"Ladenchef Wolfgang Scheid hat sich längst an den Geruch gewöhnt: „Also, ich rieche es nach den Ferien fünf Minuten, wenn ich mal zwei Wochen weg war.",B2
Dann gibt sie Emma die Uhr.,A1
"Moritz, um auf dem Silvaplanersee zu surfen.",A1
Hier wohnt er für vier Tage.,A1
“ Eigentlich setzt der giftige Qualm dem Körper schon ab der ersten Kippe zu.,B2
Über fünfhundert Millionen solcher Prüfungen müssen Kinder und Erwachsene allein in den Vereinigten Staaten alljährlich über sich ergehen lassen.,C2
"“, sagt Simon schnell und holt einen Lappen.",A2
"„Ach so, es ist nur eine Uhr.",A1
Denn eigentlich ist er Schüler der fünften Klasse.,A2
Herr Fink arbeitet im Hotel Schöndorf.,A1
"Was dann mit dem Sauerbraten passiert ist, ist nicht bekannt.",B2
"In dieser Situation wäre es schon ein Fortschritt, Gebäude als Verpackungen zu begreifen und Menschen den Lebensmitteln gleichzustellen.",C2
Und es ist ja doch eine Preisfrage.,B2
Die Kunden kaufen immer mehr im Internet und immer weniger in den Geschäften.,B1
"Das ist unsere Ente Peking, das ist gezupftes Entenfleisch.",A1
"„Es tut mir leid, aber ich bin krank.",A1
Jetzt bekennt man sich offensiv zum Marx-Marketing: Die Andenken -Läden machen Kasse mit allen möglichen Souvenirs zum Jubiläum .,C1
"/ [Ja], weil es Tradition ist und weil ich’s schön finde.",A2
Sie fährt mit dem Bus nach Hause.,A1
Die kleinste Grenze ist die im Norden zu Dänemark mit einer Länge von 68 Kilometern.,B1
Oft ist es draußen in einem Park oder an einem See.,A2
"Trotzdem hat sich die neue Bundesrepublik Deutschland 1999 unter amerikanischem Druck an der militärischen Einmischung auf der Balkan-Halbinsel beteiligt, obgleich kein Beschluss des Sicherheitsrats vorlag und die „humanitäre Intervention“ folglich einen Verstoß gegen die Charta der Vereinten Nationen darstellt.",C2
"Und deswegen gehen nicht nur Einheimische, sondern auch viele Besucher in Tracht auf die Wiesn .",B2
Dieses Melderegister der Container-Insassen kann natürlich keinerlei Vollständigkeit für sich beanspruchen.,C2
"Es ist eine Erfolgsgeschichte, die ihresgleichen sucht.",C2
"Ob Touristen deshalb tatsächlich die Insel besucht haben, weiß man nicht.",C1
"Und damit sind jetzt nicht irgendwelche edlen Gewänder gemeint – weil das hab ich eben von deutschen Kolleginnen immer wieder gehört, also entweder denkt man dann an kaiserliche Kleider oder irgendwelche priesterlichen Kleider oder so.",C1
Diese Genießer tauchen immer tiefer in die Feinschmeckerküche ab.,C1
"Eine Ahnung von der entscheidenden Bedeutung kultureller Unterschiede hat die Intelligenz- forscher gelegentlich beschlichen, so zum Beispiel John C. Raven, der 1956 einen sogenannten Matrizentest entworfen hat, um sprachliche oder kulturabhängige Fehlerquellen bei der Messung auszuschließen.",C2
Ihre dreijährige Tochter Lena liebt den Winter und vor allem Schnee.,A2
"Meine Frau lächelte, dankte Gott und sagte lachend: „Gott sei Dank, dass das kein Schlag unter die Gürtellinie war.",C2
"Da sie dem Meer viel Land abgerungen haben und regelmäßig unvorhersehbaren Überschwemmungen ausgeleiefert waren, wissen sie seit Jahrhunderten um die natürliche Wachsamkeit, die nötig ist, um sich vor Naturkatastrophen zu schützen.",C2
"Auf der anderen Seite ist es aber auch so, dass wir von den Schülern sehr, sehr viel lernen – gerade wenn es darum geht, eine komplexe Video-Schnittsoftware zu beherrschen.",C1
"Unter seinen Kunden: viele jüngere Menschen, die nur noch mit digitalen Bildern aufgewachsen sind.",B2
1894 bei einem Kongress in Paris hatte sein ständiges Werben zum Erfolg und später zur Gründung des Internationalen Olympischen Komitees IOC geführt.,C1
"Wenn ältere Menschen sich erinnern, dann haben sie das Gefühl, dass ihre Urlaubstage an einem fremden Ort sehr lang waren.",C1
"Die Folge ist, dass Autofahrer sofort langsamer fahren, weil sie Angst haben, mit ihrem Auto gegen diese Blöcke zu fahren, die in Wirklichkeit überhaupt nicht existieren.",C1
Laura sitzt in der Umkleidekabine und denkt nach.,A2
"Den Blitz kann er nicht sehen, das ist ’n Schwarzblitz , halt sehr vorsichtig.",B1
"Wenn diese Saat heranwächst, wachsen auch diegesetzlosen Zustände im Land.",C1
Das ist dann 45 bis 65 Cent pro Kilo.,A1
Seine Initialen H und B stehen sogar im Logo.,B1
"Daher kann ich sagen, die ist noch scharf , die ist noch nicht explodiert .",A2
"Sie ist sehr schön“, antwortet Mirko und lächelt.",A2
Dann geht Tanja aus dem Geschäft.,A1
"Sie erzählen aus ihrer Kindheit, Episoden oder ihr ganzes Leben.",B1
"Wenn Babys auf die Welt kommen, dann ist ihr Rücken noch ganz rund.",A2
Und dann essen sie abends warm.,A1
Denn sie bestehen aus vielen Eiskristallen.,B1
"Ich will keine Tomaten“, sagt Adelina laut.",A2
"Ja, wunderbar, da ist er, das gute Stück.",A2
"Ihr Diplom erhalten Sie nach Abgabe Ihres Abschlusstextes, der im Jahrbuch der Akademie „Der Frankfurter literarische Lustgarten“ veröffentlicht wird.",C2
"Damit das einfacher möglich ist, regen die IJB-Verantwortlichen Übersetzungen an.",B2
Dann fahren Sie doch an die Nordsee oder die Ostsee!,B1
"Dann drückt man einen speziellen Knopf, und die Laterne fährt automatisch nach oben.",B1
Dann zieht sie ihre Jacke an und geht nach Hause.,A1
Am Nachmittag gehen Laura und Tobi in der Stadt spazieren.,A1
"Man sollte sich also einfach darüber freuen, dass dieser Vogel so schön aussieht und ihn am besten in Frieden lassen.",B2
Brauchen werden wir dich ab Anfang des kommenden Jahres.,C2
"Ein weites und reich bestelltes Feld eröffnet sich, wenn statt von der Intelligenz von ihrer Abwesenheit die Rede ist.",C2
"Er hatte gehört, dass diese Fastfood-Produkte nie kaputtgehen.",B2
"Allerdings, so Ute Krüger, ist die Schnäppchenjagd nicht mehr nur auf diese Gruppe beschränkt, betrifft nicht nur sie.",C1
Sie stehen zusammen und sehen sich etwas an.,A2
Aber warum findet diese Verwandlung statt?,B1
"Nur durch den Schmerz erfahre ich, was mir zu nahe abverlangt, dass mein Körper aus dem Gleichgewicht geraten ist und ich mich zurückziehen oder abstellen muss.",C2
In der Geschichte gab es auch Krisen.,A2
"Die Tatsache, dass man normalerweise nicht in die U-Bahn-Station geht, um da zu bleiben, bedeutet auch, wenn jemand hier hinkommt, dann ist er extra gekommen und hat Zeit mitgebracht.",C1
Die lief nämlich auf älteren Handys nicht.,A2
Die Rose ist für mich .,A1
Sie laufen über das Gras und suchen im ganzen Garten nach ihrem Hund.,A2
"Wenn man nicht in der Stadt ist, kann man keine Impulskäufe machen.",B2
"Drei Kinder, sieben Enkel und fünf Urenkel hat sie, aber keiner möchte die Börse übernehmen.",B2
"Hingegen verarbeiten und speichern Inselbe- gabte in einzelnen Teilbereichen jede eingehende Information, ob relevant oder nicht – auf Kosten der Gesamtfunktion ihres Gehirns.",C2
"Ganz bewusst schufen die Baumeister damals plastische und lebensnah wirkende Figuren und nicht, wie bis dahin üblich, zweidimensionale Abbildungen: „Eine Thematik ist es, die religiösen Veränderungen dieser Zeit darzulegen.",C1
"Dina freut sich sehr über das Geschenk, denn sie liebt Hunde.",B1
"“

Tim hat Glück, denn er hat genug Geld dabei.",A1
In Italien regnet es hauptsächlich im Herbst und im Winter.,A2
Das rote gefällt ihr sehr gut.,A2
Thalia sieht nach links und nach rechts.,A1
"Sicherlich gibt es sie, die belastenden und schlimmen Ereignisse weltweit.",B2
Aber Karl Marx gehört zu Trier dazu.,B1
Kommunizieren wir inzwischen mehr oder weniger?,B1
"Schön wär’s, wenn ich’s könnte.",C2
Bei einem Erwachsenen rund 15-mal pro Minute.,A1
"Heute weiß man, dass sich in bestimmten Hirn- bereichen neue Neurone aus Stammzellen bilden können.",C2
"Man sagt auch, das Dorf ist ein „Inseldorf“, weil man die meisten Häuser nur auf einer Wasserstraße erreichen kann.",C1
"Um die Aufgabenbereiche eines Referenten/einer Referentin wahrnehmen zu können, verfügen Sie über ein abgeschlossenes Hochschulstudium (Staatsexamen oder Master), sehr gute Kenntnisse der deutschen und internationalen Hochschullandschaft sowie verhandlungssichere Englischkenntnisse und gute EDV-Kenntnisse.",C2
"Mit unseren persönlichen Daten, die wir online hinterlassen, machen Firmen Gewinn, indem sie sie verkaufen.",B2
“ In dem Paket sind neue Fußballschuhe.,A1
"Geholfen hat dem Osterhasen sicherlich auch die Süßwarenindustrie, die schon im 19. Jahrhundert an Ostern Häschen aus Schokolade herstellte.",C1
Luxuspommes aus Berlin Das Goldies gehört zu den beliebtesten Läden im Alternativviertel Berlin Kreuzberg: Dort gibt es besondere Pommes Frites mit selbstgemachten Soßen.,B1
Google allein als eine Firma verdient im Jahr über 100 Milliarden Dollar mit geschalteter Werbung.,B2
"Unser Chef hat es abgelehnt und da auch ziemlich übel drüber hergezogen : Keine richtigen Männer, um Kinder kümmern sich ja Frauen, da können sie auch Strumpfhosen anziehen.",B2
Roboter machen also das Krankenhaus menschlicher.,B1
"Hier kann man segeln, Boot fahren, schwimmen.",A1
"Hunde haben bis zu 220 Millionen Riechzellen, fast zehnmal so viele wie Menschen.",B2
"Doch ihr Vater lehnte den 30-jährigen Bewerber ab, denn er wollte seine Tochter keinem Künstler ohne regelmäßiges Einkommen anvertrauen.",C1
Die Zahl der Toten durch Naturkatastrophen sank seit 1970 um die Hälfte.,B2
Bäume als Bauwerke und Bauwerke als Bäume sind selbstverständlich standortabhängig.,C2
"Je nach Sorte kann Grünkohl eine Höhe von 1,40 bis zwei Meter erreichen.",B2
Dann hört Mirko eine Durchsage: „Der Zug nach Barcelona um 15 Uhr kommt heute nicht.,B1
"Der Autoverkäufer rief deshalb die Polizei, die sofort kam und die Betrügerin in Handschellen fortführte.",B2
Nicht einmal zehn Pferde bringen mich in diese verhasste Stadt.,C1
Lottas Vater nimmt eine Zeitung und öffnet sie.,A2
"Die Gurke – wir müssten sieben Stück davon essen, um nur 20 Gramm der sogenannten Ballaststoffe aufzunehmen, die wichtig für unsere Verdauung sind.",C1
"Zukünftige Generationen werden überlegen, ob sie noch in den Siedlungen, die schon Alfred Mitscherlich 1965 in „Die Unwirtlichkeit unserer Städte“ kritisierte, wohnen wollen.",C2
"Man könnte das ja auch viel einfacher haben mit Photoshop, aber ich glaube, es ist der Weg, es ist der Weg auch, die Dinge in die Hand zu nehmen, ihnen Leben zu geben.",C1
"U-Bahn-Linie 2, Hamburg, Haltestelle Emilienstraße.",A1
"Die meiste Zeit verbringt er damit, anderen in seinem Kiosk zuzuhören.",B1
Und es bringt die Frauen hier voran .,A2
Sie sind sehr bequem.,A1
Unterwegs können die Wanderer schöne Ausblicke genießen und regionale Spezialitäten probieren.,B1
"„Man muss bedenken, das ist in den 1860er Jahren entstanden, im damaligen Königreich Hannover, was damals einen unsäglichen Niedergang erlebte.",C1
"Trotzdem setzt sich im 20. und 21. Jahrhundert die Gleichung, Licht sei das Synonym für Produktion, Fortschritt und Wohlstand, also Macht, weiter fort, doch den Wettstreit um die prächtigste Skyline, den funkelndsten Wolkenkratzer, die hellste Stadt der Welt tragen die aufstrebenden Staaten des Ostens unter sich aus.",C2
An manchen Tagen können es auch doppelt so viele sein.,B1
Das Wetter ist super: Die Sonne scheint und das Meer ist blau.,A1
"Das Foto gehörte irgendwie mehr der Person auf dem Bild als der, die es machte.",C1
"Die teilweise bebilderten Reisetagebücher seiner Lateinamerikareise Ende des 18. Jahrhunderts sind dafür ein Ausdruck, oder wie es Professor Soethe wissenschaftlich formuliert, ein performatives Exerzieren dieser Wahrnehmung.",C2
Chefkoch Markus Brunner zeigt sein Rezept.,A1
"Bei einer Rauchentwöhnung sollte man im Hinterkopf behalten , dass der Körper sich erst mal umstellen muss.",B2
Und in rund 13 Prozent dieser Familien leben mindestens drei Kinder.,B1
Trinkwasser ohne Chemie – eine Utopie?,B2
Russland ist sogar mehr als 45-mal so groß.,A2
"Zwar haben die Menschen zu allen Zeiten immer gegen den Schmerz gekämpft, aber erst mit der Einführung von Aspirin und Äthernarkose im 19. Jahrhundert begann ein Zeitalter, in dem der Schmerz immer gezielter und zuverlässiger beseitigt und vermieden werden konnte.",C2
"Dieses Gefühl entsteht vielleicht nicht in den inneren Zirkeln der Metropolen, deren Zentren immer noch faszinieren können.",C2
"Agenturen versuchen Antworten darauf zu finden, warum ein Konzern wie VW trotz eines großen Skandals wirtschaftlich weiterhin so stark sein kann.",C1
"Denn es sorgt dafür, dass die Augen feucht bleiben und nicht austrocknen.",B1
Sie lässt die Tablette in ein Glas Wasser gleiten und bereits in der nächsten Szene – das hat das Mittel offensichtlich bewirkt – begrüßt sie mit entspanntem Lächeln einen Mann in akkuratem Anzug.,C2
"Für 50. 000 Goldmark hatte er sämtliche Rechte an seinen Bildergeschichten abgetreten, um die letzten 13 Jahre zurückgezogen hinter langem Bart und unter einem tief ins Gesicht gezogenen Hut in einem kleinen Dorf zu verbringen.",C2
Berlin und Hamburg sind alleine ein Stadtstaat.,A2
Ein Berner Bestatter hat ein speziell für den Leichentransport umgebautes Lastenrad angeschafft.,C1
"Links und rechts sieht Lukas Bäume, Blumen und Berge.",A1
"Auch aus Fischhäuten, die sonst im Abfall landen würden, wird Leder hergestellt.",B2
"Der hat gesagt, er würde nie einen bayerischen Bergführer mitnehmen, weil die Heimweh bekommen.",B2
Aber der Heilige Geist bewirkte nicht nur das.,B2
Dies brachte Cephalon 2002 eine Rüge durch die amerikanische Aufsichtsbe- hörde FDA ein.,C2
Männer mit 75 Prozent etwas häufiger als Frauen mit 65 Prozent.,A2
Diese Art von Wunder hat es – wie Birgit Winterhoff sagt – auch in der Kirchengeschichte später öfter mal gegeben.,C1
"Die meisten Paprikas, die man in Deutschland kaufen kann, kommen aus Spanien und den Niederlanden.",B1
Und für meine Frau bitte Nudeln mit Tomatensoße.,A1
Ein japanisches Luxusrestaurant hat eine ausgefallene Anti- Corona-Idee vorgestellt: Jeder Gast steckt dort mit seinem Kopf in einer Laterne.,B2
"Und die Leute, die hier hinkommen, wollen allermeist aus ihrem Unglück raus.",B2
Der Zug ist immer noch nicht da.,A1
Ich kann weder meinen Namen noch den meiner Familie schreiben.,A1
"Ich will wissen, was hier so los ist.",A2
"Wenn man versucht, ein rohes Ei zwischen Daumen und Zeigefinger zu zerdrücken, dann ist das praktisch unmöglich.",C1
Man weiß wenig über die Kindheit Adolf Hitlers.,B1
"Ein Beispiel dafür ist der Gumshoe, den eine Firma aus Amsterdam entworfen hat.",B2
"Johann im Pongau begleiten die wilden Kerle den Nikolaus und die Engel in die Häuser, wo die Kinder Geschenke bekommen.",B1
"“, drückt er damit aus, dass er damit einverstanden ist.",A2
"Und da saßen 25 Leute, die haben gesagt, so eine Bratwurst haben wir noch nie gegessen.",B1
"Einer der ersten, der im deutschsprachigen Raum von ‚Reiseliteratur‘ geschrieben hat, war Robert Prutz, ein fortschrittlicher Publizist und Literaturwissenschaftler im Vormärz, das heißt, er lebte in derselben Zeit wie die Brüder Grimm zum Beispiel.",C1
"Nur 10 % achten auf ihre Gesundheit: Sie bestellen Vollkornbrot, Obst und Joghurt.",B1
Dennoch ist der Anspruch an die Jugendlichen hoch: Die Texte müssen zu Beginn der Proben auswendig gelernt sein und ein Stundenplan muss eingehalten werden.,C1
"So kann etwa Stephen Wiltshire, ein 1974 geborener bri- tischer Autist, nach Rundflügen detaillierte Pano- ramaansichten der Grundrisse ihm unbekannter Städte aus dem Gedächtnis zeichnen.",C2
"Er studierte die Testergebnisse, die verschiedene Populationen in den zurückliegenden sechzig Jahren erzielt haben, und stellte fest, daß sie sich in allen Ländern, für die es gesicherte Daten gibt, verbessert haben, und zwar um durchschnittlich drei Punkte pro Jahr- zehnt und um fünf bis fünfundzwanzig Punkte in jeder Generation.",C2
Englisch „Bluetooth“ heißt übersetzt nämlich nichts anderes als „Blauzahn“.,A2
Auch Cuan Acar musste einiges in Kauf nehmen.,B2
"Im Gegensatz zu seiner Mutter sieht er sich gelegentlich mit Protesten konfrontiert, bleibt jedoch angesichts von Eierwürfen bemerkenswert gelassen.",C2
Wir sind seit einem Jahr mit ihr befreundet.,A2
Wie Zeinab ist auch Sultan interkulturelles Engagement wichtig.,B1
Und in der Türkei wird der Floh zum Kamel.,B1
Sie isst das Brot und trinkt den Kaffee.,A1
"Also, in der Schweiz immer auf den Tacho schauen!",A2
Man sieht auf einer Seite dann den Chiemsee und auf der anderen Seite nur noch Berggipfel.,B1
In ihrer Werkstatt am Berliner Ostkreuz treffen sich jede Woche Fans der alten Technik.,B2
Auf dem Schwarzmarkt wurde gar mehr als das Zweieinhalbfache verlangt.,C1
Unsere Smartphones und Computer verbrauchen sehr viel Strom.,A2
"Ganz nebenbei erfand Busch damals auch die Sprache des modernen Comics: „Schwuppdiwupp – ritzeratze – kritze kratze – knusper knasper“ – all diese Worte sind Lautmalereien, die bis dahin unbekannt waren.",C1
"Der Besitzer hat dann die Möglichkeit, sein Auto innerhalb eines angemessenen Zeitraumes reparieren zu lassen und dem TÜV erneut vorzuführen.",C1
"Ist es zu trocken, dann twittert der Baum zum Beispiel: „Hilfe, ich habe Durst!",B1
"Wer die Selfies nicht dort teilt, lädt sie bei Facebook, Twitter oder Whatsapp hoch.",B1
"Schmerzäußerungen beinhalten die Aufforderung, Empathie und Betreuung zu entwickeln, wie Zuwendung, Trost, Massage, Gebete.",C2
Bei Fieber beginnt der Mensch zu schwitzen und verliert viel Flüssigkeit.,B1
Sie wollte die durch den Zweiten Weltkrieg – Zitat – „gänzlich verwirrte Welt langsam wieder ins Lot bringen“.,C1
"Die Auswahlkriterien, um einen der damals 16 Plätze zu bekommen, waren die sportliche Leistung und die Finanzkraft des jeweiligen Bewerbers.",C1
Wir hatten mit den Dingen auch den Geruch von ihnen in den Koffer gepackt.,C2
Das Badezimmerfenster ist kaputt und ein Hängeschrank ist beschädigt.,A2
"Obwohl Rhabarber wie Obst zubereitet wird und fruchtig- sauer schmeckt, ist er ein Gemüse.",B2
Im Lotto sind 90 Millionen.,A1
"Frau Lien bot an, den mit mehreren Millionen Euro dotierten Forschungspreis zurückzugeben.",C2
"Das ist besser, als wenn man bequem mit einer Seilbahn nach oben fährt – oder wie Josef sagt – als wie wenn.",B2
