sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability,difficulty_label
"Wenn die Deutschen Kaffee trinken gehen, dann am liebsten in Bäckereien oder Stehcafés.",2,724,13,,,B1,83.66,B1
"Sie kam auf die Idee, aus dem Unterkleid der Dienstmägde eine Art luftiges, leichtes Sommerkleid für Städterinnen zu schneidern, die es während der Sommerfrische , einem Erholungsaufenthalt auf dem Land, tragen konnten.",4,320,32,58.0,169.0,C1,48.47,C1
Erna kennt keine Menschen auf dem Festival.,0,473,7,,,A1,55.91,A1
Der Walzer hat für mich etwas Wienerisches .,2,477,8,10.0,114.0,B1,81.29,B1
"Ist beim Smartphone der Akku leer, dann können Sie ihn aufladen.",2,728,11,,,B1,85.69,B1
Warum fahren die meisten Pendler immer noch mit dem Auto?,2,610,10,,,B1,86.71,B1
Es kostet mehr als 10. 000 Euro.,0,503,7,,,A1,106.67,A1
Neben seinem Insektenhandel verdient er mit der Lizenzierung der viralen Videos Geld.,4,457,12,18.0,126.0,C1,50.84,C1
Ein offenes Ohr für jeden Christoph Busch ist Drehbuchautor und immer auf der Suche nach guten Geschichten.,3,448,17,21.0,128.0,B2,79.6,B2
Insgesamt sind das 100. 000 Kilometer Blutgefäße!,0,605,7,,,A1,34.08,A1
"“

„Und wo ist das Schwimmbad?",0,486,6,,,A1,100.24,A1
Der Ort Kampen steht für Luxus .,1,482,7,8.0,112.0,A2,73.85,A2
"“ Reisen öffnet uns die Augen, erweitert unseren Horizont, bietet uns Perspektivwechsel – so auch die Reiseliteratur, die uns die Welt auch zu Hause auf dem Sofa liegend näher bringen kann.",4,313,31,43.0,154.0,C1,50.5,C1
"Ist der Kranke in dem Haus mit dem Garten gestorben, nachdem seine Familie so viel auf sich nehmen musste, um ihm seine täglichen Medikamenten zu besorgen?",5,unknown,26,,,C2,70.47,C2
"In der gesellschaftlichen Wahrnehmung verknüpfte man den Müßiggang mit einer Vielzahl negativer Eigenschaften und einem schlechten Ruf. Ein Müßiggänger wurde und wird als arbeitsscheu, faul und lasterhaft angesehen.",5,unknown,28,,,C2,65.73,C2
Dann schreiben Sie mir bitte eine SMS.,0,466,7,,,A1,115.13,A1
Ich hab’ das schon überall praktiziert.,2,306,6,9.0,114.0,B1,90.77,B1
Dann gehen Anna und Lisa zusammen nach Hause.,0,500,8,,,A1,88.74,A1
"Sie finden, das klingt ein bisschen seltsam?",2,734,7,,,B1,81.29,B1
Nach zwei Minuten kommt sie zurück.,0,506,6,,,A1,116.15,A1
"Für Archäologen ist das eine Katastrophe, denn die Wissenschaft verliert dadurch viele Funde.",3,475,13,20.0,128.0,B2,75.2,B2
"Und diese Vorstellung des Autodidakten, Alleskönners, das überträgt sich ja sehr stark auch auf den Sohn Adolf, der denselben Bildungsgang nimmt oder nehmen möchte.",4,292,24,39.0,149.0,C1,64.04,C1
Das Wort „putzen“ ist ein umgangssprachlicher Begriff für „reinigen“.,2,316,9,19.0,126.0,B1,62.34,B1
Der wachsenden Beliebtheit von Neuroenhan- cern steht allerdings ein Mangel an wissenschaft- lichen Fakten gegenüber: Selbst für die ver- breitetsten Medikamente lässt sich oft nur eine geringe leistungssteigernde Wirksamkeit zeigen.,5,unknown,30,,,C2,49.49,C2
"Menschliche Nähe entsteht ja überhaupt nur da, wo Menschen sich als verletzlich offenbaren.",5,unknown,13,,,C2,58.28,C2
Doch das Gegenteil ist der Fall .,3,443,7,7.0,113.0,B2,99.23,B2
Tim setzt sich und sieht aus dem Fenster.,0,524,8,,,A1,88.74,A1
Im Weltraum gibt es kein Oben und kein Unten.,2,747,9,,,B1,96.18,B1
"Es ist schon eine Voraussetzung, wenn man einen solchen Status „ Welterbe “ hat, dass das Bauwerk auch erhalten bleibt und dass auch die Stadt dafür sorgt, dass es beispielsweise Schutzzonen rings um den Dom gibt, dass es keine Hochhäuser gibt, die dann in der Sichtachse des Aachener Doms liegen.",4,474,50,68.0,185.0,C1,48.14,C1
"Sie verschenken nämlich nur sinnvolle Dinge, die im Alltag helfen.",2,582,10,,,B1,69.79,B1
Und auf de Coubertin gehen auch die fünf olympischen Ringe als völkerverbindendes Symbol für die fünf Kontinente zurück.,4,288,18,29.0,138.0,C1,70.13,C1
Fünf Millionen Hobbyangler gibt es schon in Deutschland und jährlich werden es immer mehr.,2,467,14,18.0,123.0,B1,65.73,B1
"Und das ist dann wie der Pawlowsche Hund: Wenn sie zum Beispiel immer, wenn Sie Kaffee trinken, rauchen, hat das Gehirn nach 20 Jahren kapiert: Zum Kaffee gehört Rauchen.",4,298,29,44.0,154.0,C1,84.34,C1
"Und ein geübter Jodler hört sich so an: „Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiridiri.",0,306,19,71.0,183.0,A1,102.95,A1
All die Menschen hier sind wundervoll.,0,453,6,9.0,113.0,A1,56.93,A1
"Die Millionen und Milliarden Euro, die in den Straßenbau investiert werden – von Autobahnen bis hin zu innerstädtischen Straßen – werden oft ohne jede Rücksicht auf ästhetische Belange verplant.",5,unknown,29,,,C2,35.61,C2
Über 200 Tonnen Kriegsmunition bergen sie jedes Jahr.,3,480,8,13.0,120.0,B2,80.28,B2
Also will Mirko mit dem Zug nach Spanien fahren.,1,491,9,,,A2,104.64,A2
Das Chlorophyll gibt den Blättern die grüne Farbe.,1,645,8,,,A2,88.74,A2
"Warum die Qualen einer Geburt ertragen, wenn es doch die Rückenmarksinjektion gibt?",5,unknown,12,,,C2,59.3,C2
"In Deutschland gibt es drei dieser Stadtstaaten: Berlin, Bremen und Hamburg.",1,662,11,,,A2,68.77,A2
Habibe aus Afghanistan hat ein Geheimnis.,0,444,6,9.0,114.0,A1,99.23,A1
"Natürlich könnten wir immer wieder auf die anderen zeigen, darüber klagen, was uns angetan wird und auf unsere kaum zu bewältigenden Aufgaben verweisen ­– die uns auch 82 Prozent der in der “Zeit”-Umfrage Befragten zugestehen – dass wir nämlich oft Erziehungsaufgaben der Eltern übernehmen müssen.",5,unknown,45,,,C2,44.75,C2
"Weiterhin wird eine besondere literarische Begabung vorausgesetzt, die durch Arbeitsproben und ein Eignungsgespräch im Rahmen des Eignungsfeststellungsverfahrens überprüft wird.",5,unknown,19,,,C2,1.43,C2
"An der Stelle, wo die Nabelschnur saß, bleibt später eine Vertiefung, und das ist der Bauchnabel.",3,703,16,,,B2,97.54,B2
"Manche der Spezialitäten, die heute in Spitzenrestaurants auf den Tisch kommen, waren früher Arme-Leute-Essen.",4,319,14,24.0,134.0,C1,74.19,C1
"Sie guckt, was die anderen machen.",0,535,6,,,A1,99.23,A1
"Weil reißerische Negativschlagzeilen eine größere Anziehungskraft ausüben, lässt sich die Klickrate deutlich erhöhen und die Zahl der Nutzer signifikant steigern.",5,unknown,20,,,C2,76.56,C2
"Das Den- ken ist langsam und träge, die Sprachproduktion gehemmt, es kommt zum sozialen Rückzug, das sexuelle Verlangen erlischt.",5,unknown,19,,,C2,69.11,C2
70 Prozent der Kinder kommen aus muslimischen Familien.,1,297,8,10.0,114.0,A2,46.44,A2
„Ich will mit dem Boot fahren!,0,501,6,,,A1,116.15,A1
"Dabei fiel ihnen auf, dass sehr viel Energie verschwendet wird, ungenutzt in den Himmel geht.",4,283,15,22.0,129.0,C1,73.17,C1
Darf man in der eigenen Unruhe herumrühren?,5,unknown,7,,,C2,81.29,C2
"Die Menschen der alten Welt, also Europas, lebten dynamisch, sie taten etwas.",2,287,12,19.0,125.0,B1,59.3,B1
"• So richtig teuer wird es, wenn Sie alkoholisiert auf das Fahrrad steigen und z. B. in Schlangenlinien fahren.",3,634,19,,,B2,96.18,B2
"„Ich weiß, was du tun kannst.",1,534,6,,,A2,116.15,A2
"“

„Auf Wiedersehen“, sagen Sofia und Alexander.",0,502,7,,,A1,73.85,A1
Die sind alle durchnummeriert .,0,475,5,8.0,111.0,A1,75.88,A1
Und die Luft ist besonders gesund.,1,482,6,7.0,111.0,A2,99.23,A2
"Oder nehmen Sie einmal die andere Hand, um sich die Zähne zu putzen.",2,738,13,,,B1,92.12,B1
Der flache Süden lädt zum gemütlichen Radeln ein und ist für Familien bestens geeignet.,2,664,14,,,B1,91.11,B1
"74 Prozent der Befragten machen Selfies vor allem zur Erinnerung, 63 Prozent der Selfie-Macher schicken sie Freunden oder Bekannten, und 52 Prozent teilen die Fotos in sozialen Netzwerken.",3,615,28,,,B2,59.98,B2
"die Lok Nummer 7 aus dem Jahr 1873. Die „Sibni“, wie sie auch genannt wird, wurde extra aus dem Luzerner Verkehrsmuseum geholt und generalüberholt , um den heutigen Anforderungen an Technik und Sicherheit zu genügen.",4,311,35,53.0,165.0,C1,62.68,C1
Durch Wärme und Energiesparverordnungen sowie Abdichtungen von Gebäu- den ist die durchschnittliche Innenraumbelüftung drei- bis viermal schlechter als die durchschnittliche städtische Luft.,5,unknown,22,,,C2,32.22,C2
Da hält sich der „Käsekönig“ bedeckt .,3,322,7,14.0,119.0,B2,99.23,B2
Sie zieht ihre Jacke aus und zieht den Pullover an.,0,507,10,,,A1,112.09,A1
"Der Frieden verlangt Kompromisse, und Kompromisse erfordern von allen Beteiligten die Bereitschaft, ihre eigenen Interessen zugunsten eines größeren Ziels zurückzustellen.",5,unknown,20,,,C2,42.72,C2
Nach nur drei Stunden kommen Laura und Tobi auf Mallorca an.,0,482,11,,,A1,68.77,A1
"So lautet zumindest das Vorurteil, das Klischee.",3,303,7,13.0,119.0,B2,64.37,B2
"Ich bin mehr für den Weißwein, den typisch Schweizer fruchtig- knackigen Weißwein dazu.",2,322,13,21.0,130.0,B1,83.66,B1
Sofia und Alexander setzen sich in das Boot und fahren los.,1,501,11,,,A2,94.15,A2
"Nicht irgendein Laden, nein: Es handelt sich um einen begehbaren Käse-Humidor – das bedeutet, das hier Käse bei hoher Luftfeuchtigkeit gelagert wird.",4,322,22,38.0,151.0,C1,58.62,C1
"bleibt das Ziel der Obrigkeit, die Stadt zunehmend zu durchleuchten, sie transparent und dadurch beherrschbar werden zu lassen, da die Monarchie in der Krise steckt.",5,unknown,25,,,C2,71.48,C2
"Der Briefkasten, der wie ein Schwalbennest an unsere Hauswand geklebt ist, bringt uns kein Glück, sondern ist oft ein Übel.",5,unknown,20,,,C2,76.56,C2
Eine besonders schöne Strecke sind die „Alpenjuwelen“.,2,476,7,13.0,118.0,B1,81.29,B1
"Es erschreckt mich, wenn eine Mutter mit dem “Lehrerhasser-Buch” einen Bestseller landet und Eltern auf der Internetseite “Schulradar” mit den Schulen und Lehrern ihrer Kinder abrechnen.",5,unknown,26,,,C2,53.55,C2
Nach einer schier endlosen Bescherung und einem zweiten Weihnachtslied ist es endlich vorbei!,3,484,13,19.0,129.0,B2,58.28,B2
"Am beliebtesten sind in Deutschland Städtereisen im Inland, die fünf Topziele sind Berlin, Hamburg, München, Köln und Dresden.",2,648,18,,,B1,78.59,B1
Kein anderer Fluss Europas verbindet so viele Länder und Kulturen miteinander – insgesamt sind es zehn Länder!,3,572,17,,,B2,55.24,B2
Heute ist er weltbekannt: der Kaffeefilter.,1,447,6,13.0,117.0,A2,73.85,A2
Marie und die anderen setzen sich an den Tisch und essen zusammen.,0,535,12,,,A1,84.68,A1
Denn es ist Oktober und im Herbst ist es an der Nordsee kalt.,1,489,13,,,A2,83.66,A2
"Woher es kommt, erklärt der Germanist Martin Stankowski: „Also die Sprachforscher finden als Ursprung natürlich das römische „māter“, das griechische „mētēr“ und führen das auf ein indogermanisches Wort zurück, das auch „mātēr“ heißt, und sagen, darin ist enthalten einmal so ein kindlicher Lall-Laut – das „mā“, haben wir auch in „Mama“ noch enthalten, was es ja in allen Sprachen gibt.",5,300,60,103.0,220.0,C2,28.51,C2
Nach sieben Stunden in diesem Ganzkörper-Schaffell hat das Sprichwort „ Schmoren im eigenen Saft“ noch mal ʼne ganz neue Bedeutung bekommen.,4,484,21,33.0,144.0,C1,59.64,C1
"In einem einfachen Experiment an der Universität München haben 273 Studenten in einem Labor ein Video gesehen, in dem ein Würfel geworfen wurde.",2,674,23,,,B1,56.59,B1
"Das aufstrebende südostasiatische Schwellenland führt die weltweite Produktion von Robusta-Kaffee an, mit Brasilien, Indonesien, Uganda und Indien auf den folgenden Plätzen.",5,unknown,21,,,C2,33.24,C2
"Wenn Sie Deutschland mit einem anderen Land vergleichen möchten, dann ist es praktisch, ein paar Zahlen zu kennen.",2,611,18,,,B1,70.13,B1
"Er geht zu Patienten, die ansteckend sind und deshalb keinen Besuch bekommen dürfen.",3,627,13,,,B2,66.74,B2
Aber ein Verkehrsschild ist international offiziell anerkannt: das Stoppschild.,2,638,9,,,B1,28.5,B1
Der Fund: 12 deutsche Granaten und eine britische.,0,480,8,13.0,116.0,A1,88.74,A1
Diese Redewendung kommt aus dem Mittelalter.,1,678,6,,,A2,48.47,A2
"“

Sofia geht in ihr Zimmer.",0,501,6,,,A1,100.24,A1
"/ Und nachmittags noch mal eine Tasse dann, um ein bisschen aufzufrischen.",1,291,12,20.0,125.0,A2,85.69,A2
"Vermutlich muss man einsehen, dass der Weg zurück zu einer bedeutungsvollen und sinnstiftenden Architektur der vergangenen Jahrhunderte im 21. Jahrhundert versperrt ist.",5,unknown,22,,,C2,43.39,C2
Wir haben dann heute schon in der Früh auf der Alm gepflückt.,2,458,12,15.0,121.0,B1,110.06,B1
Auch die Batterien werden getrennt .,0,463,6,8.0,113.0,A1,32.56,A1
Dort werden in den Großstädten locker 42. 000 Euro hingeblättert .,3,483,11,22.0,126.0,B2,74.86,B2
"Der Geist gab ihnen die Kraft, jede Situation zu meistern.",3,304,10,13.0,118.0,B2,69.79,B2
Und das ist ein extra Pläsier.,1,284,6,9.0,112.0,A2,90.77,A2
"Übrigens, die drei kleinen Quadrate in den Ecken und das fehlende unten rechts sind für das Smartphone eine Orientierung.",3,603,19,,,B2,77.57,B2
"Also, schon ne Porzellankiste ist ja was ganz Problematisches, was leicht zerbricht, wo man aufpassen muss.",2,300,16,28.0,132.0,B1,63.7,B1
Bei vielen landet so was einfach in der Schrottkiste .,2,475,10,13.0,117.0,B1,62.34,B1
"Und wenn man da den Arm ausbreitet und dann oben am Bergesgipfel steht, bringt man auch so einen kräftigen Ton raus, wenn man hier unten anspannt.",4,306,26,38.0,144.0,C1,70.47,C1
"Sie wurden zunächst zur Blütezeit der Hochgotik, einer europäischen Stilepoche etwa zwischen 1200 und 1350, in Nordfrankreich ausgebildet.",4,286,18,37.0,145.0,C1,53.21,C1
"“ Es sei denn, man kennt seine Identität.",3,320,8,11.0,115.0,B2,89.75,B2
Mir gefällt es ganz gut.,0,485,5,6.0,110.0,A1,117.16,A1
"Da richten wir uns nach den Bedürfnissen, nach den Interessen der Nutzer.",3,296,12,15.0,123.0,B2,84.68,B2
"Erlebt man wenig Neues, dann bleiben auch später weniger Erinnerungen.",4,689,10,,,C1,86.71,C1
"Damit das nicht passiert, sind fast alle Jahre, die man durch vier teilen kann, Schaltjahre.",4,581,15,,,C1,98.55,C1
"“

Auch evolutionsbiologisch lässt sich die Verbindung von Schmerz und Moral stützen.",5,unknown,12,,,C2,68.77,C2
"Dies hängt nicht nur mit den Medien zusammen, sondern spiegelt auch die Funktionsweise unseres Gehirns wider.",5,unknown,16,,,C2,72.16,C2
"Man könnte aus vielen Gründen glauben, daß die Konjunktur der Intelligenzmessung ihren Höhe- punkt überschritten hat.",5,unknown,16,,,C2,46.78,C2
"Zu dem hab ich dann auch gesagt: Ich bin zwar verzweifelt , aber blöd bin ich nicht.",3,479,17,23.0,129.0,B2,106.0,B2
Viele suchen schon sehr lange und sind frustriert .,1,479,9,11.0,116.0,A2,88.74,A2
"Hier wohnten die drei Kinder, die täglich Ball spielten, jetzt gibt es dort nur noch die Überreste von hohen Eukalyptusbäumen, die durch Bomben zu Asche zerfallen sind.",5,unknown,27,,,C2,52.53,C2
"Der Wall-Street-Börsenmakler Andrew Tong erregte 2007 mit der Enthüllung Aufsehen, von seinem Chef zur Einnahme leistungssteigernder Phar- maka gezwungen worden zu sein.",5,unknown,22,,,C2,40.69,C2
Die zwei Frauen hören zusammen Musik.,0,465,6,,,A1,99.23,A1
Und dafür bekommt Wendelstein monatlich sogar Lohn von der Stadt – für Futter und Tierarzt.,2,687,15,,,B1,74.19,B1
"Ist man in Deutschland unterwegs, dann sieht man viele Menschen, die mit ihrem Hund Gassi gehen.",2,587,16,,,B1,80.62,B1
"Sie kaufen die Daten auf und versuchen mit Hilfe von Big-Data-Analysen , Zusammenhänge herzustellen.",3,470,14,23.0,130.0,B2,49.82,B2
"Hier durften sie nicht nur lesen, sie durften ihre Bibliothek auch „mitgestalten“.",3,296,12,20.0,124.0,B2,76.22,B2
"In Deutschland erhielten die Frauen das Recht 1918, genauso wie in Österreich und Polen.",2,580,14,,,B1,74.19,B1
"Du weißt im Voraus nie, was du kriegst.",2,480,8,13.0,118.0,B1,105.66,B1
Das Experiment ist also sehr erfolgreich und wird vielleicht fortgesetzt.,2,702,10,,,B1,19.03,B1
Es ist alles neuer.,0,478,4,5.0,109.0,A1,118.18,A1
Dieses Bild nennt er „ Fahrt ins Blaue“: Ausgang offen.,3,451,10,14.0,122.0,B2,87.72,B2
"Der Potsdamer Platz heute und in den 20er Jahren: Damals war es der verkehrsreichste Platz Europas – dann ein Brachland , menschenleer, mitten in der Stadt.",3,439,26,41.0,149.0,B2,72.5,B2
Das wird wohl noch eine Weile so weitergehen.,2,671,8,,,B1,88.74,B1
"„Oh, ein Schornsteinfeger, darf ich Sie mal kurz anfassen?",2,641,9,,,B1,79.26,B1
"Schon daß
er es mit Analphabeten zu tun hätte, würde ihn wahrscheinlich irritieren.",5,unknown,13,,,C2,75.2,C2
"In Deutschland gibt es immer mehr Schatzsucher, die durch ihre illegalen Grabungen wichtige historische Zeugnisse zerstören.",4,475,16,24.0,133.0,C1,55.24,C1
Die absolute Nummer eins in deutschen Wohnzimmern ist die Katze!,2,587,10,,,B1,69.79,B1
Lotta und ihr Vater warten jetzt schon zwei Stunden.,0,520,9,,,A1,87.72,A1
“ Dieser Zirkelschluß muß jeden Verfechter solcher Testverfahren verdrießen; abgeschreckt hat er noch keinen.,5,unknown,14,,,C2,75.2,C2
"Darunter sind hauptsächlich Katzen, Hunde und Kleintiere wie Kaninchen, Meerschweinchen oder Hamster.",1,587,12,,,A2,67.76,A2
"Für den erwachsenen Testteilnehmer stehen einschlägige Ratgeber, Kurse und Seminare bereit, um ihn auf einen erfolgreichen Testablauf hin zu trimmen.",5,unknown,20,,,C2,42.72,C2
"Die meisten Menschen freuen sich, wenn sie diese Handwerker sehen und glauben, dass es Glück bringt, sie zu berühren.",3,641,19,,,B2,77.57,B2
Vor vierzig Jahren wurde es als erstes Bauwerk Deutschlands von der UNESCO zum Weltkulturerbe erklärt.,4,474,15,22.0,129.0,C1,73.17,C1
"Bremsen und Stoßdämpfer müssen in Ordnung sein, der Abgasausstoß darf bestimmte Grenzwerte nicht überschreiten.",3,299,14,29.0,139.0,B2,57.27,B2
"Das Essen mit den Fingern folgt dabei häufig einem festen Ritual, es gelten also bestimmte Regeln.",4,625,16,,,C1,55.24,C1
Ömür und die anderen Frauen der Kooperative stellen hier nicht irgendeinen Käse her: Ihre Spezialität ist der türkische Kars-Gravyer.,3,486,19,31.0,141.0,B2,52.19,B2
Jetzt ist der Junge wieder glücklich.,0,504,6,,,A1,90.77,A1
"Ich komme gleich zu dir“, antwortet Mona.",1,531,7,,,A2,106.67,A2
"Es gab Untersuchungen, die haben den Nachweis führen wollen, dass der Wald sogar eine ungemein ungesunde Luft hat.",4,325,18,27.0,132.0,C1,70.13,C1
"Bereits zugelassen sind Präparate, die eigentlich den geistigen Abbau infolge einer Alz- heimerdemenz verlangsamen sollen.",5,unknown,15,,,C2,56.25,C2
"Ausnahmen wie Wilfried bestätigen aber – wie es in einem Sprichwort heißt – die Regel: „Das ist einfach genießen wollen, Freude beim Essen haben.",4,315,24,32.0,141.0,C1,66.07,C1
"Nicht verpönt war es, sich auch mal auf die faule Haut zu legen, nichts zu tun.",4,287,16,21.0,128.0,C1,97.54,C1
Links neben Sandra steht ein Mann.,0,514,6,,,A1,90.77,A1
Werks- und Fabrikverkäufe haben auch Nachteile.,2,301,6,13.0,119.0,B1,99.23,B1
"Dort, wo es um die Dummheit geht, herrscht aber durchgehend ein be- leidigender Ton.",5,unknown,14,,,C2,82.65,C2
Ankunft in Breslau: Überall in der Stadt findet man Spuren der deutschen Vergangenheit.,3,446,13,19.0,127.0,B2,66.74,B2
"Da die Ausstattung an Computern in der Regel unterhalb der Schülerzahlen liegt, müssen sich mehrere Schüler einen Rechner teilen – oder viele Schüler verzichten zugunsten einer kleineren, ausgewählten Gruppe.",5,unknown,29,,,C2,59.98,C2
Das kann man nicht erklären.,1,465,5,6.0,110.0,A2,100.24,A2
Und so fühlen sich die beiden schnell heimisch .,1,450,9,10.0,115.0,A2,105.66,A2
"Der Roboter heißt Mitra, das ist Hindi und bedeutet „Freund“.",1,627,10,,,A2,69.79,A2
"In der Epoche der Romantik, die von Ende des 18. bis etwa Mitte des 19. Jahrhunderts andauerte, wurde unter anderem alles abgelehnt, was mit dem Verstand erklärt werden konnte.",4,325,29,44.0,156.0,C1,87.01,C1
Alles in ihrer Umwelt ist für sie Inspiration und Werkstoff zugleich.,4,442,11,13.0,120.0,C1,68.77,C1
"Ob eine langfristige Einnahme des Wachmachers früher oder später nicht doch seinen Tribut for- dert, ist aber unklar – die meisten Forscher sind sich darin einig, dass ausreichender Schlaf für die Regulation der Hormone und anderer wichtiger Körperfunktionen unverzichtbar ist.",5,unknown,40,,,C2,31.89,C2
"Man erkennt sie leicht, denn sie tragen ihre schwarze Berufskleidung und auch heute noch einen Zylinder.",3,641,16,,,B2,72.16,B2
Lernen kann also doch Spaß machen!,1,472,6,,,A2,90.77,A2
Er nimmt auch eine Jacke mit.,0,489,6,,,A1,116.15,A1
Auch bei Kostan Rida war das lange so.,1,444,8,11.0,116.0,A2,105.66,A2
"“, antworten sie und stehen auf.",1,493,6,,,A2,100.24,A2
"Der Wunsch zu schummeln, das heißt ein bisschen zu tricksen, war also groß.",3,674,13,,,B2,75.2,B2
"• Fahren Sie auf dem Gehweg, dann sind Sie sogar zwischen 55 und 100 Euro los.",2,634,16,,,B1,90.09,B1
Das ist aber noch nicht alles.,1,626,6,,,A2,116.15,A2
Nach der neuesten Statistik sind das 53 %.,0,714,8,,,A1,106.67,A1
"“ Diese Bücher können ausgeliehen werden, werden aber irgendwann, wenn sie zerlesen sind, aussortiert und nicht archiviert.",3,296,17,26.0,135.0,B2,55.24,B2
Er lief zuerst circa sieben Kilometer an einem Fluss entlang und wurde dann gegen Mittag am Freisinger Bahnhof gesehen.,3,736,19,,,B2,69.11,B2
"Der Sprachwissenschaftler Jacob Grimm, einer der beiden Brüder Grimm, fand die Schriften des römischen Historikers Tacitus, die „Germania“.",3,325,18,32.0,140.0,B2,44.75,B2
Ebenso bekannt in aller Welt: bayerische Autos.,1,453,7,12.0,116.0,A2,64.37,A2
Von 1946 bis in die 90er-Jahre war es eine nur polnische Stadt gewesen.,2,446,13,22.0,128.0,B1,83.66,B1
Und da durften die Kinder sich jeder ein Kreuz aussuchen.,1,297,10,13.0,117.0,A2,95.17,A2
"Das zeigt die neueste Statistik des Hobby-Namensforschers Knud Bielefeld, der jedes Jahr Geburtsmeldungen aus ganz Deutschland auswertet.",4,658,17,,,C1,62.68,C1
Für viele ist es Erholung pur: Wandern in der Natur.,2,476,10,14.0,118.0,B1,86.71,B1
"Nur 10 Prozent der Deutschen trinken lieber stilles Mineralwasser, also ohne Kohlensäure.",2,705,12,,,B1,67.76,B1
Sie geht ins Badezimmer und putzt ihre Zähne.,0,474,8,,,A1,88.74,A1
"Millionenfach knatterte der Trabi über die maroden Straßen der DDR und zog dabei eine beißend blaue Abgaswolke hinter sich her, die den Charme des proletarischen Alltags eindrucksvoll illustrierte.",5,unknown,28,,,C2,43.06,C2
"In den Kessel kommen dann noch andere Zutaten: „Die ganzen Innereien, das heißt Zunge, Herz und Kronfleisch.",3,319,17,28.0,136.0,B2,71.14,B2
"Ich glaube, kaum ein Berufsstand wurde in den vergangenen Jahren so stark angegriffen wie der der Lehrer.",5,unknown,17,,,C2,71.14,C2
"Seid gegrüßt bei diesem Haus, jetzt spricht zu euch der Nikolaus.",2,484,11,18.0,123.0,B1,94.15,B1
höchstwahrscheinlich von Karl dem Großen errichtet worden ist.,4,474,8,14.0,121.0,C1,80.28,C1
Und den Gästen schmeckt es.,1,455,5,7.0,112.0,A2,117.16,A2
"Nicht jeder versteht das, sieht es ein, sagt einer der Prüfer aus Bergisch Gladbach: „Da war also ‘n älteres Fahrzeug, wo erhebliche Korrosion war, und der Kunde es also nicht eingesehen hat, wieso er diese Dinge reparieren muss.",3,299,38,56.0,171.0,B2,49.83,B2
Die Form ist bis heute unverändert.,2,447,6,8.0,113.0,B1,90.77,B1
"Emil ist glücklich, denn er hat jetzt zwei Hobbys: Fußball und Zeichnen.",0,467,12,,,A1,76.22,A1
"Oder auch so Dialoge zu schreiben, das haben wir dieses Jahr gar nicht gemacht, weil es uns dann einfach zu viel Zeit gekostet hätte.",3,307,24,30.0,135.0,B2,89.42,B2
Emma und Ben waren 2018 die beliebtesten Vornamen für Neugeborene in Deutschland.,1,658,12,,,A2,67.76,A2
12 Euro pro Quadratmeter bei Neuvermietungen – in der Innenstadt ist das keine Seltenheit mehr.,3,464,15,22.0,129.0,B2,57.27,B2
Mail-Postfach: Volle Postfächer verbrauchen viel Strom.,1,591,6,,,A2,48.47,A2
"“

„Ist der Mann auf dem Foto neben dir Opa Alfred?",0,545,11,,,A1,95.17,A1
Die Berge in der Schweiz sind schön.,0,468,7,,,A1,115.13,A1
"Mohammed gibt dem Mann die Eier, das Brot und die Äpfel.",0,512,11,,,A1,102.61,A1
"Es ist im Kühlschrank“, schlägt Jonas vor.",1,542,7,,,A2,115.13,A2
Sie sitzt vor der Tür und sagt leise Miau.,0,522,9,,,A1,104.64,A1
"Die beiden Filmkompetenzlehrer versuchen, ihren Schülern das verständlich, begreifbar zu machen, indem sie jeden Bestandteil einzeln behandeln, ihn – wie Christian sagt – wie ein Fleischstück in Einzelportionen zerlegen.",4,307,29,48.0,162.0,C1,35.61,C1
In deutschen Wäldern wachsen über 90 Milliarden Bäume.,2,669,8,,,B1,80.28,B1
Nach dem Brexit wird kein Brite mehr ein Free-Interrail-Ticket bekommen können.,3,466,11,18.0,122.0,B2,68.77,B2
Im nichtelektronischen Zeitalter sah das anders aus.,4,312,7,15.0,118.0,C1,38.99,C1
Schon Aristoteles oder Plato oder Cicero haben das als unsittlich verworfen.,4,287,11,18.0,123.0,C1,51.85,C1
Der Körper wird durch sportliches Training in Form gebracht oder durch chirurgische Eingriffe korrigiert und ver- schönert.,5,unknown,17,,,C2,54.22,C2
"Er konstruierte ein Bestattungsfahrrad, das regionale Bestatter jederzeit anfordern können.",4,293,10,22.0,129.0,C1,35.95,C1
Aus diesen Gründen sind die meisten 1:1-Projekte an Regelschulen auch Projekte auf Zeit gewesen und konnten sich nicht dauerhaft installieren.,5,unknown,20,,,C2,51.18,C2
"Seit die Katze auf dem Turm lebt, gibt es weniger Tauben, die Treppen und Fenstersimse schmutzig machen.",3,687,17,,,B2,88.06,B2
"Es gibt viel weniger Insekten, die Schwalben sind hier bedroht, von der leisen, sauberen Zivilisation, nicht vom Krieg.",5,unknown,18,,,C2,70.13,C2
"Da wird immer Walzer getanzt, vor allen Dingen schon bei der Eröffnung gibt es immer diesen Eröffnungswalzer.",2,477,17,26.0,133.0,B1,71.14,B1
Er ist noch in seinem Zimmer.,0,501,6,,,A1,99.23,A1
