sentence,difficulty
„Sie gehen diese Straße geradeaus und biegen an der ersten Kreuzung rechts ab.,A2
Nach ungefähr 500 Metern kommen Sie an eine Ampel.,A2
Dort überqueren Sie die Straße und biegen nach links in die Schillerstraße ein.,B1
An der nächsten Kreuzung gehen Sie nach rechts in die Goethestraße.,A2
Dort ist die Post. “,A2
"„Vielen Dank! “, sagt Marco und geht los.",A2
Farben machen das Leben bunt.,A2
Der Regenbogen besteht aus vielen Farben.,A2
Obst und Gemüse ist oft sehr farbig.,A2
Und unsere Kleidung kann auch schön bunt sein.,A2
Eine starke Farbe ist rot.,A2
"Viele Früchte sind rot, zum Beispiel Erdbeeren oder Himbeeren.",A2
Es gibt auch rotes Gemüse: Tomaten.,A2
"Viele Blumen sind rot, zum Beispiel Rosen.",A2
"Gelb wie die Sonne sind auch Bananen, Zitronen oder Mais.",A2
Blau ist der Himmel bei schönem Wetter oder auch das Meer oder ein See.,B1
"Es gibt viele verschiedene Arten von blau: helles blau oder dunkles, türkis oder himmelblau.",B1
Alle Farben zusammen ergeben schwarz.,B1
Schwarz ist die Nacht.,A2
Das Gegenteil von schwarz ist weiß.,A2
"Es gibt weiße Blumen, die Wolken sind weiß.",A2
Oder der Schnee.,A2
"Sehr viel in der Natur ist grün: Blätter, Gras und Bäume.",A2
Die Stämme der Bäume sind meistens braun.,A2
Oder auch Kaffee oder gebackenes Brot.,A2
"Es gibt noch sehr viele Farben: Grau sind zum Beispiel Tauben, orange ist der Himmel bei einem Sonnenuntergang.",A2
Eine starke Farbe ist pink: sie fällt auf.,A2
In der Natur gibt es pinke Blumen oder auch Vögel.,A2
"Lila ist ähnlich, viele Blumen sind lila oder rosarot.",A2
Die edlen Farben sind golden und silber: Wir finden sie bei Edelsteinen und Schmuck.,B1
Hélene und Fabien sind Schüler der 5.,A2
Klasse auf einem Gymnasium in Paris.,A1
Gemeinsam mit ihrer Klasse werden sie für einen Tag die Stadt Berlin besuchen.,A2
Berlin ist seit 1990 die Hauptstadt von Deutschland.,A2
Zuvor war Bonn die Hauptstadt der Bundesrepublik.,B1
In der Vergangenheit war Berlin in zwei Hälften geteilt: Eine Hälfte gehörte zum westlichen Teil von Deutschland – die andere Hälfte gehörte zum Osten des Landes.,B1
Hélène und Fabien schauen sich aus diesem Grund zuerst die ehemalige Grenze an.,B1
Hier verlief von 1961-1989 eine Mauer.,B1
Man nannte sie,B1
„Berliner Mauer“.,A1
Zur Erinnerung an die Zeit der Berliner Mauer gibt es ein Museum in der Bernauer Straße.,B1
Die beiden Schüler aus Paris besuchen es und lernen viel über die Geschichte der Stadt.,B1
Dann besuchen sie das Gebäude des Reichstags am Ufer der Spree.,B1
Hier wählen die Deutschen ihren Präsidenten.,B1
Außerdem trifft sich dort das Parlament und macht die Gesetze für Deutschland.,B1
Deutschland ist ein demokratisches Land: Alle Bürger Deutschlands dürfen das Parlament wählen.,B1
Ich gehe mit meinem Bruder in den Supermarkt.,A2
"Damit wir nichts vergessen, haben wir alles aufgeschrieben.",B1
Wir brauchen zwanzig verschiedene Sachen.,A2
In den Einkaufswagen stellen wir eine Kiste Mineralwasser.,A2
In der Kiste sind zwölf Flaschen.,A2
"Eine große Packung Nudeln, zwei Kilo Zucker und drei Kilo Mehl brauchen wir auch.",A2
Es kommen vier Erwachsene und zwei Kinder zu Besuch.,A2
Dann sind wir zehn Personen beim Essen.,A2
Wir müssen viel einkaufen und viel kochen.,A2
Alle essen gerne Kartoffeln.,A2
Wir brauchen vier Kilogramm davon.,A2
Sechs Flaschen Bier brauchen wir auch.,A1
"Weil Besuch kommt, kaufen wir Saft für die Kinder.",B1
Fünf Packungen Apfelsaft sind im Angebot und kosten nur vier Euro.,A2
Es gibt Würstchen.,A2
Davon kaufen wir achtzehn Stück.,A2
Wir brauchen auch Obst.,A2
In einer Tüte sind sieben kleine Äpfel verpackt.,A2
Die Äpfel wiegen zwei Kilo.,A2
Wir backen daheim Apfelkuchen.,A2
Daraus werden 25 Portionen.,A2
Die Gäste kommen um acht Uhr.,A2
Da muss das Essen fertig sein.,B1
Wir feiern Geburtstag.,A2
"Mutter ist 38 Jahre alt, Großmutter wird 65 Jahre.",A2
Der Einkauf kostet nicht ganz 60 Euro.,A2
An der Kasse bezahlen wir mit einem 100 Euro-Schein.,A2
Die Kassierin gibt zwei 20 Euro-Scheine und einige Münzen zurück.,A2
In Deutschland werden viele Feste und Feiertage gefeiert.,A2
Das erste wichtige Fest im Jahr ist der Karneval.,A2
In dieser Zeit gehen die Menschen mit lustigen Kostümen auf die Straße.,A2
In Süddeutschland nennt man dieses Fest Fasching oder Fastnacht.,A2
Das nächste wichtige Fest ist das Osterfest.,A2
Bei ihm wird an die Kreuzigung von Christus und an seine Auferstehung gedacht.,B1
Zu Ostern gibt es für Kinder Ostereier und Süßigkeiten.,A2
Der 1.,A1
Mai ist ein Feiertag für die Rechte der Arbeiter.,A2
An diesem Tag demonstrieren die Gewerkschaften.,B1
Am zweiten Sonntag im Mai wird der Muttertag gefeiert.,A2
Es ist ein Ehrentag für die Mütter.,A2
An diesem Tag bekommen sie Geschenke von den Kindern und werden verwöhnt.,B1
Der Tag der Deutschen Einheit ist der Nationalfeiertag von Deutschland.,B1
Er wird am 3.,A1
Oktober begangen.,B2
Es wird an die Wiedervereinigung von Deutschland im Jahr 1990 gedacht.,B1
Die Adventszeit feiert man an den vier Sonntagen vor Weihnachten.,A2
Bei den Familien gibt es einen Adventskranz mit vier Kerzen.,B1
Der Nikolaustag ist am 6.,A2
"In der Nacht zuvor kommt der Heilige Nikolaus zu den Kindern, um ihnen Süßigkeiten in die Schuhe zu stecken.",B1
"Es folgt das Weihnachtsfest, das zu Ehren der Geburt von Jesus Christus stattfindet.",B1
Es wird vom 24. bis zum 26.,A1
Dezember mit Geschenken und einem Weihnachtsbaum gefeiert.,A1
Kurz darauf folgt Silvester am 31.,A2
Das neue Jahr wird an diesem Tag um Mitternacht mit einem Feuerwerk begrüßt.,B1
Der nächste Tag heißt Neujahr und ist auch ein Feiertag.,A2
Peter ist krank.,A2
Er geht zum Arzt.,A2
"„Was fehlt Ihnen? “, fragt der Arzt.",A2
"„Ich habe Husten, Schnupfen und Fieber“, sagt Peter.",A2
"„Wie lange sind Sie schon krank? “ - „Seit gestern. “
Der Arzt hört seine Lunge ab, misst seine Temperatur und sieht in seinen Mund.",A2
„Sie haben eine schlimme Erkältung.,A2
Rauchen Sie? “ -,A2
"„Nein, ich rauche nicht. “
„Das ist gut, Rauchen ist nicht gesund.",A2
Haben Sie Allergien? “ -,A2
"„Nein, ich habe keine Allergien. “

Der Arzt gibt Peter ein Rezept.",A2
"„Ich verschreibe Ihnen Medikamente, die holen Sie bitte aus der Apotheke.",B1
Nehmen Sie morgens eine Tablette und am Abend einen Löffel Hustensaft. “,B1
"„Darf ich morgen Fußball spielen? “
„Nein, das dürfen Sie nicht.",A2
Sie müssen drei Tage im Bett bleiben und sollten viel Tee mit Honig trinken.,B1
In einer Woche dürfen Sie wieder Fußball spielen.,A2
Ich wünsche Ihnen gute Besserung! “,A2
Ich gehe gerne in die Schule.,A2
In der Klasse sind 30 Schüler.,A2
Es sind Mädchen und Jungen.,A2
Die meisten Lehrer sind nett und der Schuldirektor auch.,A2
Neben mir in der Schulbank sitzt mein bester Freund Klaus.,B1
Florian ist ein Klassenkamerad.,A2
Er ist auch ein Freund.,A2
"Im Rucksack habe ich ein Buch, Papier zum Schreiben, zwei Kugelschreiber, Buntstifte, Bleistifte und einen Radiergummi.",A2
Das Lineal brauche ich für Mathematik.,A2
Da bin ich nicht gut.,A2
Ich verstehe die Aufgaben nicht richtig.,A2
In der Pause ist es immer lustig.,A2
Wir essen und trinken etwas.,A2
In einer großen Pause gehen wir in den Hof und spielen Fußball.,A2
Diese Pause ist immer zu kurz.,A2
Ich mag nicht alle Schulfächer gleich gerne.,A2
Sport ist mein Lieblingsfach.,A2
Sport könnte jeden Tag sein.,A2
Deutsch ist eine schwere Sprache.,A2
Ich muss viele Übungen machen.,A2
Dann kann ich es bald besser.,A2
Englisch spreche ich gut.,A2
Ich mache nur wenige Fehler.,A2
Auch Biologie und Kunst habe ich gerne.,A2
Biologie ist interessant.,A2
Ich mag Tiere.,A2
Auch Geschichte interessiert mich sehr.,A2
Vor den Ferien schreiben wir noch zwei Schularbeiten.,A2
Eine in Deutsch und eine in Englisch.,A1
"Ich hoffe, ich bekomme eine gute Note.",A2
Jeden Donnerstag treffen sich die Schüler in der Wohnung von Bärbel Kästner in Berlin.,B1
Bärbel ist Deutschlehrerin und unterrichtet heute eine Gruppe von sechs Personen.,A2
Jack kommt aus den Vereinigten Staaten von Amerika und studiert in San Diego.,A2
Er macht gerade ein Auslandssemester in Berlin.,B1
Neben ihm sitzt Pawel aus Polen.,A2
Er besitzt eine Autowerkstatt in der Nähe der polnischen Stadt Stettin.,B1
"An Donnerstagen fährt er mit dem Zug nach Berlin, um am Kurs teilzunehmen.",B1
"Er hat seinen besten Freund, den Briten William, in Deutschland kennengelernt.",B1
William lernt seit drei Jahren Deutsch bei Bärbel Kästner und liest gerne deutsche Bücher.,B1
Der Italiener Luigi hat Italien vor einigen Jahren verlassen.,B1
Er ist Koch und arbeitet in einem italienischen Restaurant in Berlin-Mitte.,A2
Luigi möchte seine Deutschkenntnisse verbessern.,A2
Glücklicherweise kann er sich mit Carla gut unterhalten.,B1
Sie ist Schweizerin und Italienisch ist ihre Muttersprache.,A2
"Deutsch ist, wie auch Italienisch, eine der Amtssprachen in der Schweiz.",B1
Deswegen will Carla ein gutes Sprachniveau erreichen.,B1
Zu guter Letzt gibt es noch Jean-Pierre aus Paris.,A2
In Frankreich hat er vor dreißig Jahren seine österreichische Ehefrau kennengelernt.,B1
"Vor drei Monaten sind sie zusammen nach Berlin gezogen, weil Jean-Pierre dort einen Job bei einer französischen Zeitung gefunden hat.",B1
Es gefällt ihnen inzwischen sehr gut in Deutschland.,B1
Oscar geht einkaufen in einen großen Supermarkt.,A2
"Seine Einkaufsliste ist lang, er kauft für das ganze Wochenende ein.",B1
"Außerdem kommen Gäste, für die er kochen wird.",B1
"Beim Obstregal kauft er verschiedene Früchte: Äpfel, Bananen, Erdbeeren und Kirschen wird er für den Nachtisch verwenden, es gibt Obstsalat.",B1
Die Trauben verwendet er für die Vorspeise.,A2
Er möchte gerne kleine Spieße mit Käse und Trauben anbieten.,A2
Mit dem Gemüse kocht er eine Suppe.,A2
"Dafür braucht er ein Kilo Karotten, einige große Kartoffeln, ein halbes Kilo Zwiebeln und verschiedene Pilze.",B1
Er findet Champignons und getrocknete Steinpilze.,A2
Diese eignen sich sehr gut für eine Suppe.,A2
Außerdem nimmt er grünen Salat und Tomaten mit für die zweite Vorspeise.,B1
Im ersten Kühlregal gibt es eine große Auswahl an Fleisch und Fisch.,B1
Oscar entscheidet sich für ein Huhn.,A2
Er kauft zusätzlich noch eine Packung Reis als Beilage zum Fleisch.,B1
"Damit hat er bereits alles, was er für das Essen braucht.",B1
"Er nimmt aber einiges mit, das ihm zu Hause fehlt: einen großen Laib Brot, ein halbes Kilo Salz, ein Kilo Mehl und zwei Kilo Zucker findet er neben dem Kühlregal.",B1
Dort nimmt er auch eine Flasche Milch mit.,A2
Was ihm jetzt noch fehlt: Käse und zehn Eier.,A2
Die findet er auch im Kühlregal um die Ecke.,A2
"Ich bin Anna, bin 16 Jahre alt und Schülerin.",A2
Morgens stehe ich um kurz vor 7 Uhr auf.,A2
Aufwachen kann ich nicht von allein.,B1
Ein Wecker klingelt mich aus dem Schlaf.,B1
Ich stehe auf und muss als erstes meistens auf die Toilette gehen.,A2
Ich wasche mir das Gesicht.,A2
"Dann dusche ich, zuerst ganz warm und am Schluss mit kaltem Wasser.",A2
So werde ich richtig wach.,B1
"Zähne putzen muss auch sein, anschließend ziehe ich mich an.",B1
Meine Kleider habe ich mir schon am Abend davor zurecht gelegt.,B1
Ich will morgens keine Zeit verlieren.,B1
So kann ich ein bisschen später aufstehen.,A2
"Das Frühstück lasse ich nie aus, ich habe Hunger am Morgen.",A2
Meistens esse ich Müsli oder Toast mit Marmelade.,A2
Dazu trinke ich Tee oder Kaffee.,A2
"Bevor ich in die Schule gehe, muss ich noch mein Bett machen.",B1
Das dauert aber selten länger als eine oder zwei Minuten.,A2
Dann renne ich schon los zu meinem Schulbus.,A2
Nach der Schule esse ich zu Mittag und komme am Nachmittag heim.,A2
Dann muss ich meistens noch Hausaufgaben machen.,A2
Vor dem Abendessen habe ich noch Zeit um zu spielen oder um Freunde zu treffen.,B1
Dann essen wir gemeinsam zu Abend.,A2
"Bevor ich ins Bett gehe, schaue ich ein bisschen fern.",A2
Dann gehe ich schlafen und schlafe von 22 Uhr bis morgens um 7.,A2
"Ich habe sehr viele Verwandte, die ich auch fast alle kenne.",B1
"Meine Familie ist groß, weil meine Eltern beide viele Geschwister haben.",A2
Meine Mutter hat vier Schwestern.,A2
Sie ist die jüngste.,A2
Die Kinder meiner Tanten sind meine Cousinen und Cousins.,A2
"Sie leben nicht alle in meiner Umgebung, manche wohnen sehr weit entfernt.",B1
Aber zu Familienfeiern kommen meistens alle angereist.,B1
"Auch mein Vater hat nicht nur einen Bruder oder eine Schwester, sondern insgesamt 4 Geschwister.",B1
Mein ältester Onkel ist aber schon gestorben.,A2
"Er ist auch der einzige, der keine Kinder hatte.",A2
Ich habe auch von der Seite meines Vaters viele Cousins und Cousinen.,A2
"Aber meine liebste Cousine ist die Tochter meiner ältesten Tante, der Schwester meiner Mutter.",B1
"Ich mag alle Kinder meiner Onkel und Tanten, ob Söhne oder Töchter.",B1
"Wir verstehen uns sehr gut, auch wenn wir sehr unterschiedlich sind.",B1
Meine Onkel und Tanten kümmern sich sehr um die anderen in der Familie.,B1
Auch um mich und meine Geschwister als ihre Nichten und Neffen.,B1
Ich habe eine Schwester und einen Bruder.,A2
Ich bin die mittlere.,A2
Meine Großeltern sind nicht mehr alle am Leben.,A2
Meine Großmutter ist schon 90 Jahre alt.,A2
"Ihr Ehemann, also mein Großvater, ist vor zwei Jahren gestorben.",B1
Er war schon 93.,A2
Sie haben sehr viele Enkel und Enkelinnen.,A2
"Ich bin vor einem Monat in diese Stadt gezogen, um zu studieren.",B1
Ich wohne zusammen mit drei anderen Mädchen in einer Wohngemeinschaft.,B1
"Unsere Wohnung ist nicht weit von der Universität entfernt, ich muss nur drei Stationen mit der U-Bahn fahren.",B1
"Wenn das Wetter schön ist, gehe ich manchmal zu Fuß.",A2
"Die Professoren an der Universität sind sehr nett, manche sind aber auch streng.",B1
"Die Vorlesungen, die schon früh beginnen, mag ich nicht so gerne.",B1
Ich schlafe lieber lange.,A2
Mittags esse ich mit meinen Freundinnen in der Mensa.,A2
"Das Essen ist nicht sehr gut, aber es kostet nicht viel.",A2
"In meiner Freizeit lese ich gerne, in meinem Zimmer stehen viele Bücher.",A2
Manchmal gehe ich in den Zoo und beobachte die Tiere.,A2
"Früher hatte ich zwei Katzen, aber in der WG sind keine Haustiere erlaubt.",B1
"Wenn ich das Studium abgeschlossen habe, möchte ich als Tierärztin im Zoo arbeiten.",B1
Für das Wochenende und die Ferien mache ich gern Pläne.,A2
An den freien Samstagen und Sonntagen werde ich lange schlafen.,A2
Dann klingelt der Wecker nicht.,A2
"Aber ich werde für die Wochenenden nicht zu viel planen, weil ich gern faul bin und nichts tue.",B1
Aber ich werde vielleicht zum Sport gehen.,A2
Manchmal habe ich am Wochenende ein Turnier.,A2
Diesen Sonntag zum Beispiel werde ich mit meinem Team in eine andere Stadt fahren.,B1
Wir werden dort ein Match gegen einen anderen Hockeyverein spielen.,B1
Das wird bestimmt ein Spaß.,A2
"Wenn das Wetter schön ist, werde ich anschließend mit meinen Freunden schwimmen gehen.",B1
"In der Nähe gibt es einen See, der wird schon warm genug sein.",B1
"Wenn ich länger frei habe, mache ich gerne größere Pläne.",B1
In den Sommerferien werde ich sehr oft mit meinen Freunden unterwegs sein.,B1
Wir werden zum See fahren.,A2
Dort werden wir im Zelt übernachten und beim Lagerfeuer sitzen.,B1
Eine oder zwei Wochen möchte ich gerne reisen.,A2
"Ein Freund wird mich auf der Reise begleiten, wir werden mit dem Zug losfahren.",B1
"Wir planen eine Route durch das ganze Land, von West bis Ost und von Süd bis Nord.",B1
Mit Rucksäcken und Wanderschuhen werden wir auch in die Berge fahren.,B1
Am liebsten würde ich dort in einer Hütte übernachten.,B1
"Wir werden sehen, ob wir das auch schaffen werden.",B1
Ein Abenteuer wird es aber ganz bestimmt.,B1
Anna steht am Samstag um 8.,A2
00 Uhr auf.,A1
Sie duscht sich und putzt ihre Zähne.,A2
Zum Frühstück isst sie ein Butterbrot und trinkt Kaffee.,A2
Dann geht Anna einkaufen.,A2
"Sie kauft Tomaten, Nudeln, Bananen, Milch und Orangensaft.",A2
Um 10.,A2
00 Uhr geht Anna mit ihrem Hund im Park spazieren.,A1
Mittags kocht Anna Nudeln mit Tomatensoße.,A2
Zum Mittagessen trinkt sie Orangensaft.,A2
Nachmittags trifft sich Anna mit ihren Freundinnen Maria und Monika.,B1
Sie gehen in der Stadt spazieren und trinken Tee in einem Café.,A2
Dann geht Anna nach Hause und liest ein Buch.,A2
Am Abend isst sie ein Käsebrot und trinkt ein Glas Milch.,A2
Sie sieht sich im Fernsehen einen Film an.,B1
Um 22.,A2
00 Uhr ist Anna müde.,A2
Sie geht ins Bett und schläft sofort ein.,A2
Herr und Frau Meyer fahren oft in die Berge.,A2
"Berge gibt es in Deutschland, Österreich, Italien und der Schweiz.",A2
Ihr Reiseziel ist in diesem Jahr die Schweiz.,A1
Dort kann man viel wandern.,A2
In einem Berghotel haben sie ein Zimmer gebucht.,A2
"""Wie wollen wir hinfahren?",A2
"Mit dem Auto oder mit dem Zug"", fragt Herr Meyer seine Frau.",A2
"""Ein Flugzeug kommt ja nicht in Frage.",B1
"Dort ist kein Flughafen. """,A2
"""Mit dem Auto ist es sehr bequem"", antwortet Frau Meyer.",A2
"""Aber es gibt auf der Autobahn sicher einen langen Stau.",B1
Dann wird die Anreise sehr anstrengend.,B1
"Ich denke, wir sollten den Zug nehmen. """,A2
Eine Woche später steigen Herr und Frau Meyer an einem kleinen Bahnhof in der Schweiz aus dem Zug.,B1
Ein Taxi wartet bereits und bringt das Ehepaar zum Berghotel.,B1
An der Rezeption werden ihnen die Zimmerschlüssel überreicht.,B1
Ein Bediensteter zeigt dem Ehepaar Meyer ihr Zimmer.,B1
Darin befindet sich ein Doppelbett und ein Schrank.,A2
Herr Meyer ist unzufrieden mit dem Hotelzimmer.,A2
Es ist viel zu klein.,A2
"""Wir haben ein großes Zimmer gebucht.",A2
Dieser Raum gefällt uns nicht.,A2
"Wir möchten ein anderes Zimmer haben. """,A2
Durch seine Beschwerde erhält das Ehepaar sofort ein anderes Zimmer.,B1
Herr und Frau Meyer freuen sich.,A2
Sie haben ein großes Zimmer mit einem schönen Ausblick auf die schneebedeckten Berge.,B1
In München treffen sich drei Studenten.,A2
Sie kennen sich von der Universität.,A2
Der Deutsche Matthias erzählt von seinem Urlaub in Norddeutschland.,A2
"""Ich fuhr mit dem Bus zum Bahnhof und stieg in einen Zug, der an die Nordsee fuhr.",B1
"Meine Eltern leben auf einer Insel, die man nur mit einer Fähre erreichen kann.",B1
Auf der Insel fährt kein Auto und keine Bahn.,A2
Man nimmt das Fahrrad oder geht zu Fuß.,A2
"Ich liebe die Nordsee, denn ich kann die Schiffe in der Ferne betrachten.",B1
"Manchmal miete ich ein Boot und fahre auf eine andere Insel. """,A2
Der zweite Student beginnt zu erzählen.,A2
Sein Name ist Bernd.,A2
"""Wir Schweizer reisen gerne in andere Städte.",A2
In Barcelona habe ich ein Auto gemietet und mir die Stadt angesehen.,B1
Außerdem fuhr ich mit der Tram.,A2
Das ist eine Straßenbahn.,A2
Anschließend bin ich mit einem Taxi zum Flughafen gefahren.,B1
Ich flog nach Paris.,B1
Dort habe ich mir kein Auto gemietet.,B1
Es herrschte viel Verkehr auf den Straßen.,B1
"Da war mir die U-Bahn lieber. """,B1
Der dritte Student ist Österreicher.,A2
Er heißt Thomas.,A2
"""Ich liebe die Berge und die Natur und fuhr mit dem Motorrad herum.",B1
Leider waren auf den Autobahnen viele Lastwagen und Autos unterwegs.,B1
"Das mag ich nicht. """,A2
Im Urlaub fahren wir eine Woche zum Wandern in die Berge.,B1
Dort ist die Luft besser als in der Stadt.,A2
Wir wandern zu einem See und wollen dort mit einem Boot fahren.,A2
Auf dem Wanderweg zum See gehen wir zuerst lange durch einen dunklen Wald.,B1
Im Wald sind viele Bäume und es riecht nach Erde.,A2
"Weil wir nicht laut sind, sehen wir ein Reh und beobachten es.",B1
Wir kommen an einem großen Felsen vorbei.,B1
"Auf dem Weg liegen viele Steine und wir brauchen gute Wanderschuhe, damit wir uns nicht verletzen.",B1
Nach dem Wald kommen wir auf Felder und Wiesen.,B1
Das Gras auf der Wiese ist Futter für die Tiere eines Bauern.,A2
Auch schöne Blumen wachsen dort und wir pflücken einen kleinen Blumenstrauß beim Heimweg.,B1
Zum See führt ein kleiner Bach.,B1
In dem Bach gibt es Fische.,A2
Ich möchte dort gerne angeln.,A2
Nach dem Urlaub in den Bergen fliegt die ganze Familie noch ein paar Tage ans Meer.,B1
Der Strand ist ganz flach und das Wasser ist nicht tief.,A2
Die Kinder spielen gerne im feinen Sand.,A2
Die Sonne ist sehr stark und man braucht Sonnencreme.,A2
Am Meer bläst immer Wind.,A2
Das ist bei der Hitze angenehm.,B1
Am Meer ist ein anderes Klima als in der Stadt und die Luft ist sehr feucht.,B1
Das Wetter ist fast immer gut und es gibt selten Regen.,A2
Das wichtigste Fest in Deutschland ist Weihnachten.,A2
Dann wird an die Weihnachtsgeschichte mit der Geburt von Jesus Christus in einem Stall in Bethlehem gedacht.,B1
Es ist das Fest der Liebe und der Geschenke.,A2
Vor diesem Fest findet die Adventszeit statt.,B1
"Die vier Sonntage vor Weihnachten sind der erste, der zweite, der dritte und der vierte Advent.",A2
In dieser Zeit dekoriert man die Fenster und stellt einen Adventskranz mit vier Kerzen in die Wohnung.,B1
Die Kerzen werden an den vier Sonntagen nacheinander angezündet.,B1
Für die Kinder gibt es einen Adventskalender mit 24 Tagen bis zum Weihnachtsfest.,A2
Aber schon am 6.,A1
"Dezember kommt der Heilige Nikolaus mit kleinen Geschenken für die Kinder, wenn sie ihre geputzten Schuhe vor die Tür stellen.",B1
"Er steckt die Geschenke heimlich hinein, sagt man den Kindern.",B1
Am 24.,A2
Dezember ist der Heilige Abend.,A1
Das ist für viele der wichtigste Tag beim Weihnachtsfest.,B1
Vor diesem Tag kaufen sich die meisten Familien einen Tannenbaum und stellen ihn in ihrer Wohnung auf.,B1
"Der Weihnachtsbaum wird mit bunten Glaskugeln, Sternen, Engeln und Kerzen geschmückt.",B1
Am Heiligabend gehen die meisten Familien zunächst zum Gottesdienst in die Kirche.,B1
Bei der Rückkehr feiern sie die Bescherung unter dem Christbaum.,B1
So nennt man die gegenseitigen Geschenke und die Gaben für die Kinder.,B1
"Manchmal spielt jemand den Weihnachtsmann oder das Christkind, um den Kindern die Geschenke zu bringen.",B1
Außerdem gibt es für sie zu Weihnachten viele Süßigkeiten und Plätzchen.,B1
In Deutschland gibt es noch nicht so viele Ganztagsschulen wie in anderen Ländern der Welt.,B1
"In Norwegen, Frankreich oder Kanada funktionieren solche Schulen schon viel länger.",B1
Dort können die Kinder jeden Tag bis zum späten Nachmittag in der Schule bleiben und man hilft ihnen sogar beim Lernen.,B1
In deutschen Schulen gibt es das nur an ein paar Tagen in der Woche.,A2
In Deutschland besuchen die Kinder meistens ab der fünften Klasse eine Ganztagsschule.,B1
Diese beginnt morgens und endet um 16 Uhr.,A2
Nach dem normalen Unterricht bekommen die Schüler zuerst ein Mittagessen und danach können sie ihre Hausaufgaben erledigen.,B1
"Die Hausaufgaben machen sie oft in kleinen Gruppen, natürlich ist auch immer ein Lehrer dabei.",B1
Er kann alle Fragen der Schüler beantworten und ihnen helfen.,B1
Das finden viele Eltern und Schüler sehr gut.,A2
Nachmittags kann man sich auch gut auf Tests und Klassenarbeiten vorbereiten.,B1
"Für Kinder, die Probleme in manchen Fächern haben, gibt es auch Nachhilfeunterricht.",B1
"Außerdem
gibt es viele Freizeitangebote.",A2
"Man kann zum Beispiel Sport machen, ein Musikinstrument spielen oder am Computer arbeiten.",A2
Viele Eltern arbeiten den ganzen Tag.,A2
So sind ihre Kinder nach der Schule alleine zu Hause.,B1
Deswegen ist die Ganztagsschule besonders gut.,B1
"Die Kinder, die eine Ganztagsschule besuchen, können auch nach den Stunden in der Schule bleiben.",B1
Auch für Kinder aus dem Ausland sind Ganztagschulen sehr gut.,B1
Dort können sie noch ein bisschen Deutsch lernen.,A2
"Das Gute an einer Ganztagsschule ist, dass die Schüler dort meistens mehr lernen und deshalb oft gute Noten bekommen.",B1
Deswegen sollte es in Zukunft noch mehr Ganztagsschulen in Deutschland geben.,B1
Der deutsche Pop-Gigant Peter Nohlen und seine Patricia werden bald Hochzeit feiern.,B1
"Darüber freut sich nicht nur Patricia selbst – auch ihre Mutter Maria Luisa García Concha ist erleichtert: „Ich bin froh, dass er sie endlich heiraten will.",B1
"“ Patricias Mutter machte sich Sorgen, weil ihre Tochter schon zwei Jahre mit Peter in einem Haus zusammenlebt.",B1
Peter ist nach drei gescheiterten Ehen und unzähligen Affären nicht gerade ein Wunschkandidat für Schwiegermütter.,B2
"Maria Luisa stellte Nachforschungen
über den blonden Peter aus Berlin an.",B2
Mit positivem Ausgang: „Patricia hat im Leben immer eine gute Wahl getroffen.,B2
"Wenn sie mit Peter glücklich ist, soll er mir als Schwiegersohn willkommen sein“, so ihre Mutter.",B2
Und dann gibt Maria Luisa ihrem Schwiegersohn in spe auch gleich den ersten Rat mit auf den Weg: „Heiratenist mehr als nur nach Las Vegas fahren.,B2
"Ich möchte, dass er meine Tochter glücklich macht, und außerdem möchte ich bald Oma werden.",B1
Entspannt und stressfrei reisen!,A2
Genießen Sie schöne Ferien in Deutschland mit uns.,A2
Wir bringen Sie mit der Bahn in alle Städte.,A2
Spezielle Angebote für Familien und Gruppen.,A2
"Weltweit Stellenangebote – für junge Deutsche im Ausland: Festanstellung, Teilzeit, mit freier Zeiteinteilung.",B1
Schüler- und Studentenjobs.,A2
Informationen: Wie bekomme ich ein Visum?,A2
Tipps für die Wohnungssuche.,A2
"Sprachreisen, Sprachkurse für Erwachsene und Schüler, Schülersprachreisen in Deutschland und aller Welt.",B1
Unterkunft in Gastfamilien oder im Hotel.,A2
Dazu viele Freizeitangebote.,A2
Bei uns finden Sie das beste Angebot!,A2
Online-Preisvergleich aller Anbieter für Deutschland-Reisen.,B1
"Kurzurlaub, Rund - reisen mit Pkw oder Wohnwagen, Ferienhäuser/Ferienwohnungen, Flüge.",B1
"Großbritannien, Portugal, Spanien, Frankreich und den USA.",A1
Kostenlose Beratung in unserem Büro in der Weinstraße.,A2
Miguel hat in Santiago und Paris Medizin studiert.,B1
Seit seiner Rückkehr aus Frankreich lebt er wieder in Santiago.,B1
Er arbeitet dort in einem Krankenhaus als Arzt.,A2
"Miguel hat Familie: eine Frau, Natalie, und zwei Töchter.",A2
"Seine Muttersprache ist Spanisch, und natürlich spricht er auch sehr gut Französisch.",B1
In seiner Freizeit spielt er gerne Fußball.,A2
Das Café von Clara Bertold ist von sieben bis achtzehn Uhr geöffnet.,A2
"In dem Café ist es voll, fast jeden Tag.",A2
„Ich arbeite den ganzen Tag in der Küche.,A2
"Aber ich freue mich immer, wenn so viele Leute kommen.",A2
"“ Clara Bertold will das Café nicht am Abend öffnen, denn sie möchte auch andere Dinge machen, wie z. B. ins Kino gehen oder Sport machen.",B1
„Und ich möchte meine Freunde sehen.,A2
Meine Familie lebt ja leider weit weg.,A2
