sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability
“ Eine Currywurst mit Pommes Frites gilt als Fast-Food-Klassiker in Deutschland.,C1,315,11,21.0,124.0,B1,52.87
Durch die enge Maske kann ich kaum atmen.,B2,484,8,12.0,116.0,B1,88.74
"Sie können dort morgen frühstücken und dann schwimmen gehen“, antwortet Herr Fink.",A1,486,12,,,B1,76.22
"Sie denken, eine Stunde ist immer eine Stunde?",A2,689,8,,,B1,105.66
"Dann bliebe nicht genug zum Leben, sagt Jenny Kopf.",B2,464,9,12.0,119.0,B1,104.64
Professor Elger nennt das Beispiel der Terroranschläge vom 11. September 2001 in den USA.,C1,316,14,22.0,128.0,B1,64.37
"Der Name ist seltsam, denn ein Beutel ist eigentlich aus Stoff, Leder oder Plastik.",A2,631,14,,,B1,82.65
"Sie essen lieber Nudeln und Reis, denn die müssen sie nicht mehr vorbereiten.",A2,729,13,,,B1,83.66
"Oder ich muss mir dann immer wieder sagen: ‚Ja, die meinen das nicht böse‘.",C1,302,14,20.0,125.0,B1,99.57
"Sehr selten auch mal Tiere, die man in einem Terrarium hält, zum Beispiel Schlangen.",A2,587,14,,,B1,82.65
Ein großer weißer Pyrenäen-Berghund folgt Frank Hanel auf dem Fuße.,C1,295,10,20.0,126.0,B1,95.17
Das Experiment ist also sehr erfolgreich und wird vielleicht fortgesetzt.,A2,702,10,,,B1,19.03
"Ich glaube, meine Handtasche ruft …",A2,584,6,,,B1,100.24
"Sie finden, das klingt ein bisschen seltsam?",A2,734,7,,,B1,81.29
In nur wenigen Sekunden war er in der Wohnung.,A2,653,9,,,B1,87.72
Aber Urlauber kommen auch im Sommer auf ihre Kosten .,B2,461,10,11.0,116.0,B1,96.18
Ein Wiener Würstchen schmeckt mit Senf noch viel besser.,A2,672,9,,,B1,104.64
"Hunde können gescheckt sein, also schwarze, weiße oder braune Flecken haben.",A2,577,11,,,B1,85.69
Und das kommt auch vom Jodeln: „Ich bin immer in der Natur draußen.,C1,306,13,18.0,123.0,B1,100.58
Unterwegs können die Wanderer schöne Ausblicke genießen und regionale Spezialitäten probieren.,B2,476,11,17.0,128.0,B1,34.93
Im schlimmsten Fall sogar für immer.,C1,317,6,8.0,113.0,B1,73.85
"Er ist unterwegs in der ganzen Welt, arbeitet 60 bis 70 Wochenstunden.",B2,468,12,17.0,126.0,B1,67.76
"Die zwei Geschwister suchen im ganzen Haus, aber sie können Faust nirgends finden.",A2,542,13,,,B1,83.66
Die katholische Kirche feiert den Dreikönigstag am 6. Januar.,A2,701,9,,,B1,96.18
Das Fleisch wird in der eigenen Metzgerei verarbeitet.,C1,319,8,11.0,118.0,B1,46.44
Er kletterte bis in eine Höhe von 15 Metern und wollte nicht mehr herunterkommen.,A2,670,14,,,B1,82.65
Dort haben nur fünf bis acht Prozent der Familien drei Kinder oder mehr.,A2,651,13,,,B1,92.12
Und was ist für die Schüler das Schwierigste?,C1,307,8,11.0,116.0,B1,105.66
Jetzt darf er in Deutschland als Mechaniker arbeiten.,A1,483,8,,,B1,71.82
"Alle dreißig Jahre werden die rausgenommen, wieder frisch aufgeschweißt und dann wieder reingemacht.",C1,311,13,24.0,131.0,B1,92.12
Und wer verzichtet nun eigentlich hauptsächlich auf Fleisch?,A2,697,8,,,B1,88.74
Auf einem Berg natürlich: „Ein echter Bayer geht mindestens einmal im Jahr rauf da.,C1,306,14,18.0,124.0,B1,82.65
Dabei ist die Herstellung ressourcenintensiv .,B2,463,6,10.0,117.0,B1,49.48
"Das ist natürlich ganz schön dreist , also, ich meine .",B2,449,11,13.0,116.0,B1,96.18
Wir haben dann heute schon in der Früh auf der Alm gepflückt.,B2,458,12,15.0,121.0,B1,110.06
"Fotos und Videos: Entscheiden Sie, welche Sie behalten • wollen und entfernen Sie den Rest.",A2,591,15,,,B1,74.19
Denn Sie feiern nur alle vier Jahre Geburtstag.,A2,581,8,,,B1,88.74
Die Hälfte der Fläche Deutschlands wird landwirtschaftlich genutzt und fast ein Drittel der Fläche ist Wald.,A2,611,16,,,B1,89.08
Immer mehr Cafés in Deutschland bieten neben Espresso und Cappuccino auch Filterkaffee an.,B2,447,13,18.0,125.0,B1,49.82
"Dann weiß sie, was sie will.",A2,534,6,,,B1,116.15
"In Wirklichkeit dauert das Jahr aber 365 Tage, 5 Stunden und ungefähr 49 Minuten.",A2,581,14,,,B1,91.11
"Und 9 Prozent haben es irgendwo vergessen, aber später wieder gefunden.",A2,604,11,,,B1,77.23
Und das lässt die Temperatur dann wieder steigen.,A2,706,8,,,B1,88.74
Für sie eignet sich die Narzisse perfekt zum Stecken.,B2,458,9,13.0,118.0,B1,96.18
"Es kann sein, dass ich die ganze Wohnungssuche abblase und … keine Ahnung – gut, zu den Eltern will man nicht mehr ziehen – aber irgend so ‘ne Sachen in Kauf nehmen muss.",B2,479,33,41.0,148.0,B1,74.87
Und in rund 13 Prozent dieser Familien leben mindestens drei Kinder.,A2,651,11,,,B1,85.69
"Auch indem sie beispielsweise Geld für einen guten Zweck spenden, ihre Portemonnaies öffnen.",C1,304,13,19.0,129.0,B1,75.2
Damit unterscheiden sie sich von der Mehrheit der Deutschen.,C1,315,9,10.0,117.0,B1,87.72
Verschicken Sie doch mal QR-Einladungen …,A2,603,6,,,B1,49.48
Der Weihnachtsmann sieht eigentlich so aus wie der Nikolaus und auch er bringt den Kindern Geschenke.,A2,681,16,,,B1,80.62
"Fällt der Haufen zum Beispiel auf das Feld 41, und Sie haben ein Los mit der Zahl 41, dann haben Sie Glück und gewinnen einen kleinen Preis.",A2,692,27,,,B1,94.83
Warum fahren die meisten Pendler immer noch mit dem Auto?,A2,610,10,,,B1,86.71
Aber was denken die Besucher darüber?,B2,485,6,7.0,113.0,B1,90.77
"Die amerikanischen Kinder glauben, dass der Weihnachtsmann vom Nordpol zu ihnen kommt.",A2,681,12,,,B1,67.76
Heute engagieren sie sich für Umweltschutz und gegen rechte Parteien.,B2,460,10,15.0,124.0,B1,103.63
Und die Lichtgeschwindigkeit ist viel schneller als die Schallgeschwindigkeit.,A2,574,9,,,B1,104.64
Martina Göldner-Kabitzsch hat die Manufaktur vor über 20 Jahren gegründet.,B2,456,10,21.0,128.0,B1,35.95
Dann helfen ihr die speziellen Härchen an ihren acht Beinen.,A2,626,10,,,B1,112.09
"Kennen Sie den Duden, das wichtigste Wörterbuch der deutschen Sprache?",A2,690,10,,,B1,78.25
Also nimmt sie ihr Handy und wählt die Nummer 110. Nach 15 Minuten steht ein Polizeiauto vor der Tür.,A1,506,19,,,B1,95.67
"“ Das Gehirn ist ein Organ, das trainiert werden kann.",C1,316,10,14.0,118.0,B1,96.18
"• Fahren Sie auf dem Gehweg, dann sind Sie sogar zwischen 55 und 100 Euro los.",A2,634,16,,,B1,90.09
An manchen Tagen können es auch doppelt so viele sein.,B2,484,10,12.0,118.0,B1,95.17
"Ja, und die neue öffentliche Toilette in der chinesischen Hauptstadt Peking ist wirklich eine Toilette mit allem Pipapo.",A2,728,18,,,B1,53.21
Nach dem Zweiten Weltkrieg entstanden in Deutschland die Bundesländer.,A2,662,9,,,B1,62.34
Denn sie bestehen aus vielen Eiskristallen.,A2,595,6,,,B1,90.77
"Und wenn Sie pro Tag mehr gehen, sagen wir mal 7. 000 Schritte, dann schaffen Sie das sogar viermal!",A2,594,19,,,B1,95.67
Sie freut sich schon sehr auf die Reise.,A2,540,8,,,B1,114.12
Er wird traditionell mit einem Wiener Walzer eröffnet.,B2,477,8,11.0,117.0,B1,80.28
"Wir entwickeln das Haus, wir machen eigentlich das gesamte Objekt wohnlicher .",B2,464,12,14.0,122.0,B1,68.77
Der Vermieter verlangt 565 Euro warm für die Einzimmerwohnung – und jede Menge Gehaltsnachweise und Bonitätsauskünfte .,B2,479,17,27.0,141.0,B1,39.33
"Man geht in die Schule, dann vielleicht zur Universität und später ins Büro, arbeitet zu Hause am eigenen Computer weiter, um dann wieder zur Arbeit zu gehen.",C1,287,27,31.0,140.0,B1,60.99
Der Käse wird im ganzen Land verkauft und neuerdings sogar bis nach Hongkong exportiert .,B2,486,15,20.0,128.0,B1,91.11
Für die Figuren werden die Narzissen von Hand gepflückt .,B2,458,10,14.0,119.0,B1,87.72
"Wir lieben Pommes, aber es ist jetzt nicht … wir würden nicht für Pommes töten.",B2,455,15,20.0,125.0,B1,99.57
"Wenn Menschen älter werden, wiederholen sich viele Dinge, und dann vergeht die Zeit sehr schnell.",A2,689,15,,,B1,81.63
Und sie schmecken manchmal sogar noch etwas süßer.,A2,576,8,,,B1,71.82
Der lateinische Begriff für „Ort“ ist „locus“.,C1,316,7,14.0,120.0,B1,81.29
"“ Das kann man zu einer Person sagen, die etwas chaotisch ist.",A2,690,12,,,B1,77.23
"Wenn man den Barcode fotografiert, was passiert dann, Herr Hutter?",B2,449,10,15.0,121.0,B1,86.71
Damals war die Straßenbahn recht langsam: Sie fuhr nur etwa 20 Stundenkilometer (km/h).,A2,710,13,,,B1,75.2
Diese Tradition ist schon über 400 Jahre alt.,A2,633,8,,,B1,88.74
"Und dann gibt’s halt den Kalbsbraten, der jetzt da 14 Stunden drin war – bei 66 Grad.",C1,319,17,25.0,129.0,B1,80.62
"“ 51 Prozent der Männer und 44 Prozent der Frauen sind der Meinung, dass es zu Hause am schönsten ist.",A2,700,20,,,B1,86.03
"Und in Italien ist Freitag, der 17. ein Unglücksdatum.",A2,621,9,,,B1,79.26
"Einige Leute in der Stadt halten auch in ihren kleinen Gärten Hühner, weil sie immer ganz frische Eier wollen.",A2,716,19,,,B1,86.03
"Das hat einen praktischen Hintergrund: Steine sind lebensnotwendig, um ein Nest zu bauen.",A2,582,13,,,B1,75.2
Doch nicht alle sind unzufrieden.,B2,472,5,8.0,114.0,B1,100.24
Den einen geht es vor allem um den Spaß an der Bewegung.,C1,317,12,13.0,119.0,B1,93.14
"Es folgen Stufen aus Stein, rund und ausgetreten.",C1,321,8,13.0,117.0,B1,80.28
"Wenn die Deutschen Kaffee trinken gehen, dann am liebsten in Bäckereien oder Stehcafés.",A2,724,13,,,B1,83.66
"/ Also, eine Sache, die wir hier gelernt haben, ist ja zum Beispiel richtig stehen, also auf beiden Beinen stehen und so was.",C1,310,23,29.0,135.0,B1,74.53
"Sie und ihre Mitschüler sind in der Schwerpunktklasse Chemie, Bio und Physik.",B2,478,12,19.0,126.0,B1,84.68
“ Für diesen Schüler ist das Drehbuch das Schwierigste.,C1,307,9,13.0,119.0,B1,105.66
"In der Nordsee gibt es mehrere Inseln, die zu Deutschland gehören.",A2,717,11,,,B1,85.69
Die Form ist bis heute unverändert.,B2,447,6,8.0,113.0,B1,90.77
"Sie sehen ’ne frische Wolfs fährte , die ist von letzter Nacht, wenige Stunden alt.",B2,440,15,21.0,127.0,B1,91.11
"Nur 10 % achten auf ihre Gesundheit: Sie bestellen Vollkornbrot, Obst und Joghurt.",A2,737,13,,,B1,67.76
"Nicht ganz so fettig, aber genauso lecker … mindestens.",B2,459,9,12.0,122.0,B1,71.82
"Woran liegt es, dass wir immer älter werden?",A2,671,8,,,B1,80.28
"“ Das kann beispielsweise eine Mutter sein, die von ihrem besorgten Sohn zu hören bekommen hat: „Mama, vom Rauchen stirbst du!",C1,298,21,30.0,141.0,B1,76.56
Dann können wir Ihnen das Geld für die Reinigung bringen.,A2,529,10,,,B1,78.25
"Und für viele ist halt die Blütenküche eher so ein bisschen – manche sagen auch „ Kaninchenfutter “ – eher so grün, Salat in die Richtung.",B2,456,26,37.0,146.0,B1,82.99
"So sorgt Mitra auch dafür, dass sich das Pflegepersonal nicht ansteckt.",A2,627,11,,,B1,85.69
Und die breiteste Stelle in Ost- West-Richtung beträgt 640 Kilometer.,A2,663,10,,,B1,69.79
"Toll, dass Sie es fünfmal probiert haben‘.",C1,298,7,13.0,117.0,B1,89.75
Sie hat sich sehr darauf gefreut.,A2,544,6,,,B1,99.23
"Du weißt auch gar nicht, wie du das aufräumen sollst.",C1,310,10,16.0,120.0,B1,103.63
"Denn das ist oft die einzige Zeit, wenn die ganze Familie zusammen ist.",A2,708,13,,,B1,92.12
"Weil sonst immer Pommes irgendwie bei einer Currywurst daneben als Beilage ist [sind], oder beim Burger.",B2,455,16,25.0,130.0,B1,63.7
"Für mich die Faszination an der analogen Fotografie ist, dass es … Es fühlt sich echt an, dadurch, dass es physisch ist.",B2,441,22,31.0,138.0,B1,75.54
Diese Skulptur erinnert an ein spektakuläres Ereignis im Juli 1950. Damals kam ein Wanderzirkus nach Wuppertal.,A2,632,16,,,B1,80.28
"Auf Schnäppchenjagd Manche befriedigen ihren Jagdinstinkt, für andere ist sie die reine Notwendigkeit: die Schnäppchenjagd.",C1,301,15,31.0,143.0,B1,64.71
In chinesischen Haushalten findet man meistens Fische und in der Türkei bevorzugen die Menschen Vögel.,A2,714,15,,,B1,56.25
Aber schon nach drei Metern hatte er keine Kraft mehr.,A2,670,10,,,B1,95.17
Das zeigen Smartphone-Daten aus mehr als hundert Ländern.,A2,594,8,,,B1,63.36
Zahlreiche Menschen in Deutschland sind Berufspendler.,A2,610,6,,,B1,56.93
Alles nur ein Spiel für Erwachsene?,B2,475,6,7.0,114.0,B1,99.23
Informationen kommen auch aus hochgeladenen Fotos.,B2,470,6,10.0,114.0,B1,6.17
Dann geht die Wanderung am Fuße des Berges erst richtig los: nach Ehrwald in Österreich.,B2,476,15,21.0,127.0,B1,90.09
"Und das ist halt der einzige Laden, wo die Pommes eigentlich noch besser sind als in Holland oder Belgien.",B2,455,19,23.0,127.0,B1,86.03
Zu diesem Jubiläum bekam die Stadt eine Geschenk aus China: eine große Marx-Statue.,B2,454,13,19.0,128.0,B1,83.66
"Dina freut sich sehr über das Geschenk, denn sie liebt Hunde.",A1,495,11,,,B1,102.61
Am Samstag haben sie ein wichtiges Spiel gegen die Mannschaft aus der Nachbarstadt.,A2,526,13,,,B1,92.12
Am Ende von Liebesfilmen finden sie sich doch immer: zwei Verliebte.,C1,324,11,18.0,122.0,B1,77.23
Werks- und Fabrikverkäufe haben auch Nachteile.,C1,301,6,13.0,119.0,B1,99.23
60 Prozent verwenden das Taschengeld auch für Zeitschriften oder Comics.,A2,654,10,,,B1,86.71
"Man trifft leichter andere, die auch solo reisen.",B2,466,8,10.0,116.0,B1,80.28
"/ Wer’s nicht glaubt, der soll zur Schule geh’n, / Wir ziehen in die Welt.",C1,287,15,20.0,127.0,B1,109.04
Diese Redewendung kommt vermutlich aus dem 16. Jahrhundert.,A2,642,8,,,B1,63.36
"Das heißt, sie können kistenweise Käse mitnehmen.",C1,322,7,13.0,118.0,B1,81.29
Er wollte seinen Mülleimer leeren und verließ deshalb kurz seine Wohnung im zweiten Stock.,A2,719,14,,,B1,82.65
"“, dann hören Sie bestimmt 90-mal die Antwort: „Gut“.",A2,746,9,,,B1,88.74
"Sind Sie ein Mann, dann dürfen Sie bis zu sechsmal im Jahr spenden, sind Sie eine Frau, dann viermal.",A2,668,19,,,B1,86.03
Mehr als 400 Jahre ist die von Stern’sche Druckerei schon alt.,C1,312,11,16.0,122.0,B1,94.15
Ich möchte auch so gut sein wie er.,A1,475,8,,,B1,114.12
In Deutschland würde man von „Kleidung“ oder „Klamotten“ sprechen.,C1,323,9,18.0,123.0,B1,79.26
"Die Westen haben noch einen Vorteil: Sie halten die Hühner warm, und dann legen sie noch mehr Eier als normalerweise.",A2,716,20,,,B1,68.1
"Johann im Pongau begleiten die wilden Kerle den Nikolaus und die Engel in die Häuser, wo die Kinder Geschenke bekommen.",B2,484,20,27.0,137.0,B1,59.64
Sie schreiben eine Prüfung und sind bestens vorbereitet.,A2,639,8,,,B1,71.82
Und um wieviel teurer wird das Zuhause von Jenny Kopf?,B2,464,10,13.0,120.0,B1,95.17
"Sie glauben nicht, dass die Wölfe eine Gefahr sind.",B2,440,9,13.0,119.0,B1,113.1
Da sollte der Handlauf so aussehen wie ’n geflochtenes Seil.,C1,309,10,17.0,121.0,B1,86.71
"Denn Paiman, Habibe und die anderen Frauen wollen in Deutschland bleiben, wollen, dass ihre Kinder hier aufwachsen.",B2,444,17,25.0,130.0,B1,88.06
"So können Sie sehen, ob das Gewitter näher kommt oder abzieht.",A2,574,11,,,B1,77.23
"Mit 87 Jahren immer noch täglich 100 Gläser spülen, trocknen, kontrollieren.",B2,465,11,20.0,128.0,B1,68.77
"Die Deutschen machen mit Rhabarber gerne Kompott, Marmelade oder Kuchen.",A2,637,10,,,B1,86.71
"Also, bei uns ist der Renner die Nusstorte, weil die ganz berühmt ist.",B2,461,13,21.0,125.0,B1,92.12
Es fühlt sich normalerweise nicht schlimm an.,B2,457,7,8.0,116.0,B1,89.75
"Diese Jahre haben einen zusätzlichen Tag, nämlich den 29. Februar.",A2,581,10,,,B1,86.71
"Nicht gerade geeignet als Haustier, oder?",A2,647,6,,,B1,90.77
"Sport zu treiben, gilt als gesund.",C1,317,6,8.0,113.0,B1,116.15
Das größte Blumenfest Mitteleuropas In der österreichischen Region Ausseerland-Salzkammergut wird jedes Jahr im Frühling die Stern-Narzisse gefeiert.,B2,458,17,35.0,147.0,B1,37.3
Mit fast 2000 Weihnachtskugeln wird sie zum wahren Winterwunderland .,B2,481,10,18.0,124.0,B1,45.42
Aber warum findet diese Verwandlung statt?,A2,645,6,,,B1,73.85
Ich hatte grade eine Delegation da aus Taiwan.,C1,308,8,11.0,114.0,B1,63.36
"Wenn Mängel beim Auto festgestellt werden, bekommt das Auto keine Prüfplakette.",C1,299,11,18.0,126.0,B1,68.77
Im Weltraum gibt es kein Oben und kein Unten.,A2,747,9,,,B1,96.18
"Wespen mögen es zum Beispiel nicht, wenn man versucht, sie mit der Hand wegzuscheuchen.",A2,652,14,,,B1,91.11
Wenn Stress krank macht Mark Brandner hatte viel Stress im Beruf.,B2,468,11,13.0,118.0,B1,94.15
Einziger Haken : Die Wohnung kostet mehr als 1000 Euro warm.,B2,479,11,16.0,121.0,B1,86.71
"Zwei Wochen durch vier europäische Länder, bevor es mit vielen neuen Eindrücken zurück nach Schottland geht.",B2,466,16,24.0,129.0,B1,55.24
"Fällt ein Zahn aus, dann springt der nächste Zahn in die Lücke.",A2,606,12,,,B1,101.6
Die Teilnehmer sind bunt gemischt und kommen aus aller Welt.,C1,306,10,12.0,118.0,B1,86.71
Und beim Lesen tun wir das vor allem bei Satzzeichen.,A2,601,10,,,B1,103.63
"Jede Woche gehen dort drei neue Rezepte online, bei denen nicht nur Kuchenfans Lust zum Backen bekommen.",B2,459,17,23.0,128.0,B1,79.6
Die Themen findet er im Alltag der Menschen.,B2,451,8,9.0,114.0,B1,63.36
"Ich will weniger in den sozialen Medien unterwegs sein, aber das ist schwer.",B2,438,13,15.0,123.0,B1,75.2
Einmal während der Hauptsaison musste er an einem Tag 3. 500 Ansichtskarten mitnehmen!,A2,656,13,,,B1,73.34
Mitten in diesem Fluss sitzt ein großer Elefant aus Stein.,A2,632,10,,,B1,95.17
Deutsche Konsumenten sind Marken besonders treu.,B2,443,6,10.0,116.0,B1,90.77
"MAX MURAWSKI Angeln in der Stadt ist auf jeden Fall wesentlich sozialer, als wenn man irgendwo alleine auf nem See sitzt oder an nem See sitzt.",B2,467,26,33.0,142.0,B1,78.93
"Drinnen schaute er auf sein Handy und merkte, dass sein Akku fast leer war.",A2,653,14,,,B1,99.57
"Wenn man Glück hat, findet man im Wald frische Heidelbeeren.",A2,576,10,,,B1,86.71
Zeitungspapier zum Einwickeln gab es ja noch nicht.,A2,678,8,,,B1,71.82
“ Früher galt: Rotwein passt am besten zu Käse.,C1,322,9,14.0,122.0,B1,114.12
Bei Fieber beginnt der Mensch zu schwitzen und verliert viel Flüssigkeit.,A2,706,11,,,B1,68.77
Der TÜV betreibt in ganz Deutschland mehrere Prüfstellen.,C1,299,8,12.0,120.0,B1,80.28
Man hat also einige Stunden gewonnen.,A2,709,6,,,B1,73.85
Ungefähr zwischen dem 12. und 16. Monat können sie dann selbstständig laufen.,A2,696,12,,,B1,82.31
"Übrigens, wenn Sie gerne radeln und die Donau kennenlernen möchten, dann ist der Donauradweg perfekt für Sie!",A2,572,17,,,B1,62.68
"Die Menschen der alten Welt, also Europas, lebten dynamisch, sie taten etwas.",C1,287,12,19.0,125.0,B1,59.3
Werden wir überhaupt noch selbst arbeiten oder gibt es nur noch Roboter?,C1,318,12,15.0,121.0,B1,67.76
Drehplatz für die Videos ist eine Einfamilienhaussiedlung in der Nähe von Karlsruhe.,B2,457,12,21.0,127.0,B1,59.3
Die hatten auch noch kein Auto mit 150 PS.,C1,321,9,11.0,114.0,B1,96.18
Wir Krampusse halten uns eher im Hintergrund .,B2,484,8,10.0,115.0,B1,64.37
Meine Großmutter ist in Schlesien geboren an der polnisch-tschechischen Grenze und hat dort die ersten zehn Jahre gelebt und ist dann eben nach Deutschland gekommen.,B2,446,25,37.0,147.0,B1,63.02
Heutzutage kommen Bilder und Texte per Datentransfer in den Betrieb.,C1,312,10,15.0,122.0,B1,61.33
"Wir begleiten sie, müssen aber auf Abstand bleiben.",B2,480,8,10.0,116.0,B1,80.28
"Sie haben dann das Gefühl, mit einem guten Bekannten zu sprechen.",A2,627,11,,,B1,102.61
"Sie fragt auch ihre Kollegen, aber niemand hat das Buch gesehen.",A1,504,11,,,B1,77.23
Ich fühle mich vor diesem massiven Tor sehr klein.,B2,452,9,12.0,115.0,B1,87.72
Warum sollte man das nicht wahrnehmen.,C1,301,6,8.0,113.0,B1,116.15
"In Deutschland erhielten die Frauen das Recht 1918, genauso wie in Österreich und Polen.",A2,580,14,,,B1,74.19
Aber natürlich kommen sie auch wegen Oma Börse.,B2,465,8,10.0,116.0,B1,80.28
"Wir sind schließlich die ersten, die das Material nutzen.",B2,462,9,11.0,115.0,B1,79.26
Für heute Abend haben Annas Eltern Freunde zum Abendessen eingeladen.,A2,542,10,,,B1,61.33
"Er wollte so viele Unterlagen, da denkt man sich auch: Ich will mir hier keine Villa anmieten .",B2,479,18,23.0,127.0,B1,71.14
"Den Durst löscht man am besten mit Wasser, Tee oder Saftschorle.",A2,665,11,,,B1,94.15
"Im Jahr 1888, da war sie 51 Jahre alt, machte sie mit ihrem Mann eine Schiffsreise im Mittelmeer.",A2,721,18,,,B1,87.05
Das Kalbfleisch wird leicht gesalzen und in griffiges Mehl getaucht .,B2,473,11,21.0,125.0,B1,95.17
Für Geert Deneire sind es lange Tage auf dem Feld.,B2,480,10,14.0,117.0,B1,112.09
Ich war dabei und habe Gänsehaut gekriegt.,B2,450,7,13.0,117.0,B1,106.67
"Er findet die Wohnung und das Zimmer super, spricht aber nicht viel.",A2,537,12,,,B1,84.68
"Wenn man in Düsseldorf ein öffentliches Verkehrsmittel benutzen möchte, hat man zurzeit zwei Möglichkeiten.",A2,702,14,,,B1,65.73
"Haben Sie Ihrem Auto, Staubsauger oder Computer schon mal einen Namen gegeben?",A2,569,12,,,B1,76.22
"Er hatte als Soldat etwa 1,5 Jahre in dem hessischen Ort gelebt.",B2,469,12,20.0,123.0,B1,76.22
Bei Wattführungen könnt ihr diesen Lebensraum erforschen.,B2,471,7,13.0,118.0,B1,55.91
"Ab dem zwölften Lebensjahr, da läufst du halt so mit in den Orten in den verschiedenen, und dann sagst du: Ja, jetzt stellen wir mal was auf die Beine .",B2,484,30,40.0,146.0,B1,75.88
Sie bringt jede Woche mehr als 600 Briefe und circa 60 Päckchen nach Lehde.,A2,711,14,,,B1,99.57
Aber Karl Marx gehört zu Trier dazu.,B2,454,7,8.0,113.0,B1,106.67
Deshalb sieht jede Eisblume anders aus.,A2,595,6,,,B1,73.85
Zümran Ömür baute die alte Käserei wieder mit auf.,B2,486,9,16.0,121.0,B1,104.64
"Aber was macht ein Hai, wenn er Karies hat?",A2,606,9,,,B1,113.1
Aber Zugtickets sind oft teurer als Bustickets.,A2,540,7,,,B1,64.37
"Er sieht es sogar als Bonus, als Vorteil an.",C1,309,9,11.0,116.0,B1,104.64
Die Helden des Sports sind die Helden der Nation.,C1,317,9,12.0,115.0,B1,104.64
So können alle Gäste die anderen gut sehen und verstehen.,A2,602,10,,,B1,69.79
"Zuerst war sie nackt, ein Gewand bekam sie später.",B2,452,9,15.0,118.0,B1,113.1
"Kundendienst wird beim TÜV großgeschrieben, er ist sehr wichtig.",C1,299,9,16.0,122.0,B1,87.72
"Und sie ist Mitglied bei den Grünen, kämpft dort für eine bessere Welt.",B2,460,13,16.0,124.0,B1,92.12
Der flache Süden lädt zum gemütlichen Radeln ein und ist für Familien bestens geeignet.,A2,664,14,,,B1,91.11
"Sie haben nicht nur acht Arme, die direkt aus dem Kopf wachsen.",A2,588,12,,,B1,93.14
Vielleicht aus Spaß ein Gesicht mit Brille und Schnurrbart verschönert?,A2,608,10,,,B1,78.25
"Aber wir wollten eine Pizza ohne Tomaten für meine Tochter, also nur mit Schinken“, sagt Tarik zum Kellner.",A1,484,18,,,B1,78.59
Aber Pfingsten ist ‘ne ganz spannende Geschichte.,C1,304,7,11.0,117.0,B1,64.37
"Wer so etwas isst, tut seinem Körper etwas Gutes.",C1,319,9,13.0,117.0,B1,79.26
Interrail – das ist eine Art Speed-Dating mit Europa.,B2,466,9,13.0,117.0,B1,63.36
Blech war in der damaligen DDR Mangelware.,C1,294,7,12.0,117.0,B1,64.37
"Früher waren drei Mahlzeiten zu Hause üblich: Frühstück, Mittagessen und Abendessen.",A2,708,11,,,B1,77.23
"Ist beim Smartphone der Akku leer, dann können Sie ihn aufladen.",A2,728,11,,,B1,85.69
Ich mag die Farbe – und besonders die Sohle mit dem Stadtplan von Amsterdam.,B2,462,14,17.0,122.0,B1,75.2
Was hat ihr neuer Hauseigentümer vor?,B2,464,6,9.0,116.0,B1,90.77
"Als er älter wurde, führte Buschs Schwester Fanny seinen Haushalt.",C1,284,10,15.0,123.0,B1,86.71
Und in der Türkei wird der Floh zum Kamel.,A2,586,9,,,B1,113.1
Partikel können Aerosole oder Tröpfchen sein.,A2,630,6,,,B1,90.77
1519 wurde er dann zum deutschen Kaiser gekrönt.,A2,642,8,,,B1,114.12
Denn es gibt nicht mal tausend Wölfe in Deutschland.,B2,440,9,13.0,118.0,B1,104.64
"Pi, ein Buchstabe im griechischen Alphabet, ist auch die sogenannte Kreiszahl.",A2,629,11,,,B1,60.31
In der Schweiz ist es ein Novum: das Bestattervelo.,C1,293,9,14.0,119.0,B1,96.18
Und Krampus und Nikolaus sind einfach … gehören zu uns dazu.,B2,484,11,14.0,118.0,B1,86.71
"Man hat das Gefühl: Provence, irgendwo in Frankreich und Sommer.",B2,456,10,13.0,120.0,B1,78.25
"Die meiste Zeit verbringt er damit, anderen in seinem Kiosk zuzuhören.",B2,448,11,18.0,123.0,B1,94.15
Es gibt wirklich eine riesige Vielfalt an Arten.,B2,457,8,10.0,116.0,B1,105.66
"Bei der internationalen Umfrage haben Menschen aus Deutschland, Italien, England, Spanien, Frankreich, den Niederlanden und Brasilien mitgemacht.",A2,737,17,,,B1,45.76
Aber das wird wahrscheinlich niemand machen.,A2,741,6,,,B1,90.77
Hier muss Mirko in einen Zug nach Spanien umsteigen.,A1,491,9,,,B1,96.18
"Und lustigerweise hatte mein Vater ein Restaurant als ich so vier, fünf war in München und sein… das Lager von dem Restaurant, also das Essenslager, war so mein Spielplatz.",B2,442,29,39.0,145.0,B1,75.88
Auf rund 120 Quadratmetern baut sie in ihrem Schaugarten alle Arten von Blüten an.,B2,456,14,21.0,128.0,B1,99.57
"Und da saßen 25 Leute, die haben gesagt, so eine Bratwurst haben wir noch nie gegessen.",C1,315,16,25.0,130.0,B1,106.0
"Von 900 Euro kann ich daheim nicht leben, weil ich muss rechnen: Also, selbst die kleinste Wohnung kostet so .",B2,472,20,26.0,133.0,B1,69.11
"Jetzt im Herbst kann man immer wieder Kinder sehen, die Kastanien sammeln.",A2,733,12,,,B1,67.76
