sentence,difficulty,sentence_length
Doch es gibt auch einen gegenteiligen Trend: Die Fitness- Branche wächst.,B1,11
"Ich weiß auch nicht, wo er herkommt, wo er gewohnt hat, wo er gestorben ist.",B1,15
Nach der Schule muss ich die Hausaufgaben machen.,B1,8
Und schließlich passt das Velo auch zum Netzwerk „Bärn treit („Bern trägt“) – gemeinsam bis zuletzt“.,B2,16
Ein einziger Lkw verursacht Umweltverschmutzung.,B2,5
In Peking will man das Ansehen des Einparteienstaats schützen – und kritische Demonstrationen auch im Ausland verhindern.,B2,17
Dann wird nur noch Hefe hinzugefügt.,B2,6
"Ich sag mal, selbst wenn Sie H-Milch trinken und Milch trinken, dann kennen Sie den Unterschied.",B2,16
So wirkt der Lärm noch langfristig weiter.,B2,7
"„Ich glaube, wir haben verstanden, dass es nicht hilft, sondern schadet, wenn wir nicht über Drogen informieren.",B2,17
Für die berühmten Funkenmariechen entwickelte sie vor 50 Jahren die Tanzfiguren und -schritte.,B2,13
Das hat mich auch schon irgendwie immer irritiert .,B2,9
Diese Baustelle steht für eine deutsche Revolution.,B2,7
“ Ob etwas gröber oder milder: Grünkohl bleibt eine deftige Angelegenheit.,B2,11
"Bier aus Brot: lecker und nachhaltig Gerste , Weizen , Wasser und Hefe: Die Zutaten von Bier und Brot sind fast gleich.",B2,22
"Schon seit Jahren schneit es auf dem Everest immer weniger, die Gletscher schmelzen.",B2,13
Doch vor allem viele jüngere Leute in Großbritannien würden lieber in einer Republik leben.,B2,14
"Doch Sturm fluten machten ihnen das Leben schwer, wie die große Flut von 1362: Sie zerstörte große Teile der Küste – und auch Rungholt.",B2,24
Und das war für mich das Brutale .,B2,8
Sie bekommt mehr Anfragen als sie bewältigen kann.,B2,8
Das haben wir tatsächlich so auch noch nie gehabt.,B2,9
"Studien mit der Ackerschmalwand legen nahe , dass sie Geräusche und Töne nicht nur wahrnehmen kann, sondern vielleicht sogar unterscheiden.",B2,20
Inzwischen erhob die Witwe des Piloten Andy Chavarri schwere Vorwürfe gegen die Airline.,B2,13
Hier gibt es Kostüme für jede Produktion aus jeder Epoche .,B2,11
Hier entsteht ein neuer Solarpark nahe Berlin.,B2,7
"Die Geographin Hanna Hadler glaubt, dass der Boden dadurch tiefer wurde.",B2,11
"Wenn Sophie Hauenherm nicht tanzt, verbringt sie gerne Zeit in der Natur in der Nähe ihres Zuhauses in Dresden.",B2,19
Aber Kies und Sand werden knapp.,B2,6
"Jeden Sonntag treffen sich hier ab fünf Uhr Einheimische und Reisende, Morgenmenschen und späte Partygäste der letzten Nacht.",B2,18
"Wohnraum ist in ganz Deutschland knapp , das merkt auch er.",B2,11
"Die neuen modernen Moscheen hier in Dänemark, die haben die Erlaubnis, Minarette zu bauen.",B2,14
"Nicht nur die Aussprache, auch deutsche Eigenheiten sind dem Jungen fremd – etwa, dass man nicht auf jedem Rasen einfach so Fußball spielen darf.",B2,24
"Und ich habe verschiedene Möglichkeiten und Werkzeuge, um neue Bildwelten oder neue Dinge zu generieren.",B2,15
Mit dem Kolonialismus und weltweiten Handelsbeziehungen verbreitete sie sich dann über den Rest der Welt.,B2,15
Das gefällt wohl auch vielen ihrer Kundinnen.,B2,7
"Sie wird wohl dieses Jahr wachsen, sogar stärker als die Wirtschaft in Deutschland, sagt der Internationale Währungsfonds .",B2,18
"Ich stellte mir damals vor, der Täter in einer Tatortfolge zu sein.",B2,12
"Auf den Spuren des Döners Ursprünglich kommt er aus der Türkei, aber schon längst ist er auch aus der deutschen Esskultur nicht mehr wegzudenken: der Döner.",B2,26
"Wer kann schon genau definieren, was man von uns erwarten darf und was nicht?",B2,14
"Das geschieht bei ihm zu Hause in der Werkstatt und zieht sich über Stunden , manchmal Tage.",B2,17
Ist das die Antwort auf den Fachkräftemangel in der Gastronomie?,B2,10
"Um auch anderen die besondere Stimmung nahezubringen, hat er ein Buch veröffentlicht, in dem seine schönsten Arbeiten zu sehen sind.",B2,20
"Weitere Partyvideos werden bekannt – dieselben Parolen, dasselbe Lied.",B2,9
"Der pittoreske Ort ist ein Touristenmagnet , nicht zuletzt, seit er als Kulisse für Filmproduktionen diente.",B2,16
Hier dagegen setzen sie auf recyceltes Material: Es macht 30 Prozent ihrer Produktion aus.,B2,14
"“ Oft fehlt das Geld, um in der Stadt zu leben, dort ein gutes Trainingslager zu besuchen und sich wie Hochleistungssportlerinnen und -sportler zu ernähren.",B2,25
"Aber nicht alle Briten teilen die Vorfreude , im Gegenteil.",B2,10
"Auch in der Boyn Valley Road in Maidenhead, einem kleinen Städtchen im Süden Großbritanniens.",B2,14
Sie wird inzwischen vom deutschen Verfassungsschutz als „gesichert rechtsextrem“ eingestuft .,B2,11
"Also, es ist nicht so viel kaputt, wie man erst annehmen würde bei so ’ner Katastrophe.",B2,16
"Recycelter Beton für nachhaltiges Bauen Weil in Städten viel gebaut wird, steigt die Nachfrage nach Baumaterialien wie Beton.",B2,18
"Außerdem steht das Land vor einer schweren Hungersnot, schon jetzt hat jeder zweite der mehr als elf Millionen Einwohner nicht genug zu essen.",B2,23
"Aber hier kam jetzt ein anderes nervenaufreibendes Geräusch in meine Albträume: das Geräusch, wenn der Briefträger am Briefkasten klappert.",B2,19
Die Bachelor-Arbeit wird im dritten Studienjahr verfasst und wird vom Bachelor-Colloquium begleitet.,B2,12
Und das ist halt ein Riesenproblem gewesen in meiner Jugend.,B2,10
"Sie kehrt mehrfach in den peruanischen Dschungel zurück, um dort auf der Station für ihre Diplomarbeit und für ihre Doktorarbeit zu forschen.",B2,22
"Doch ob es dazu kommen wird, ist bisher unklar.",B2,9
"So gaben in einer Studie der UNESCO etwa 70 Prozent der jungen Menschen an , nicht genug zu wissen, um den Klimawandel zu verstehen oder erklären zu können.",B2,28
Mit einem Schlag war alles wieder da.,B2,7
"Trotzdem geht sie dem Rinnsal hinterher, das langsam breiter wird und schließlich ein Bach.",B2,14
Zu eingeschränkt sind die Nutzungsmöglichkeiten.,B2,5
Derzeit finden im Rheinland überall Karnevalssitzungen statt.,B2,7
"Dieses Exemplar ist Martin Kunze besonders wichtig: Es zeigt, wie ein Gletscher im Laufe weniger Jahrzehnte abschmilzt .",B2,18
"Lange hatten wir versucht, den Duft in den Hemden zu konservieren.",B2,11
"Hinzu kommt, dass meine fünf Geschwister ebenfalls nicht in Nordrhein-Westfalen sesshaft geworden sind, sondern über die gesamte Bundesrepublik Deutschland verstreut leben.",B2,21
"Seit der erste hier kocht, rufen Kollegen aus ganz Europa bei ihm an.",B2,13
Seit 2013 leitet Javier Toledo den Verleih als Geschäftsführer.,B2,9
In Deutschland leiden schon jetzt mehr als sieben Prozent der Bevölkerung an der Zuckerkrankheit.,B2,14
"Inzwischen gehen mehr als 80 Kinder in Güvens Religionsklassen – „ Tendenz steigend “, sagt sie.",B2,16
"Unklar bleibt, welche Behörde genau für dieses Chaos zuständig ist – und bei wem man sich beschweren könnte.",B2,18
Eine der wichtigsten Erkenntnisse: Adolf Hitler ähnelte seinem Vater offenbar sehr.,B2,11
"Kollegen aus den USA, Schweden, Deutschland, Pakistan, Indien, Dänemark, Ungarn leisten alle ihren Beitrag .",B2,15
"„Jedes Mal, wenn man das Haus verlässt, um zu arbeiten oder sich zu versorgen , geht man das Risiko ein , überfallen oder entführt zu werden“, sagt Antoine Jeune, der als Katastrophenhelfer vor Ort arbeitet.",B2,35
Forschungen haben gezeigt: Eine Zuckersteuer könnte auch in Deutschland viel Leid verhindern.,B2,12
"Er versteht unser Land, mit all unseren Stärken und Schwächen.",B2,10
"Deren „Rosa Listen“ nutzte die frühe BRD, um Homosexuelle weiter zu verfolgen.",B2,12
Man könnte so fast drei Prozent der Emissionen im Straßenverkehr einsparen .,B2,12
"Außerdem muss man für neue Anbauflächen oft Wälder abholzen , so Hütz-Adams.",B2,12
"Zum Beispiel veröffentlicht „Compact“ immer wieder verschwörungsideologische Inhalte oder Videos, in denen Migrantinnen und Migranten als gefährlich dargestellt werden.",B2,19
"Manche wollen vielleicht in falunroten schwedischen Holzhäusern leben, andere in einer amerikanischen Ranch.",B2,13
Beim Baustoff-Recycler werden auch rote Ziegel für den Beton benutzt.,B2,10
Außerdem versprach sich Biden mehrmals.,B2,5
"Da man nach dem Krieg nur ungern über die Vergangenheit gesprochen hat, wurden die Hitler-Darstellungen zunächst oft versteckt, so Kuderna.",B2,20
"Ohne Holz hätten die Menschen das Feuer nicht entdeckt und auch spätere Erfindungen wie Boote, Möbelstücke oder Papier wären ohne Bäume kaum möglich gewesen.",B2,24
"Sie beschäftigt eher, warum der öffentliche Nahverkehr nicht besser ausgebaut wird oder was man gegen die vielen Wölfe in der Region tun kann.",B2,23
Fachleute sprechen von der ‚ Arousal ‘-Reaktion.,B2,7
"Großbritannien war schon immer eine Monarchie, das gehört zu uns, ist Teil der Struktur unseres Landes.",B2,16
Doch ist das wirklich erstrebenswert?,B2,5
Der deutsch-dänische Fotograf Eckhard Ahmed Krausen ist fasziniert von der Architektur und Ästhetik der Kopenhagener Großmoschee.,B2,16
Und was habe ich davon?,B2,5
"Wir wollen aufzeigen , wie ungerecht die Monarchie in den letzten Jahrzehnten für uns war, und unsere Botschaft mit der Welt teilen.",B2,22
"In Deutschland, weltweit bekannt als Land der Biertrinker, hat man etwas ganz Neues erfunden: Bierpulver.",B2,15
Auch in Barcelona klagt die lokale Bevölkerung.,B2,7
"Ich werde euch ein Geheimnis verraten, nämlich dass ich im Sommer zum ersten Mal eine Strafe in Deutschland erhalten habe.",B2,20
"Je größer die Herde, desto mehr Einkommen für den Schäfer.",B2,10
"Doch ihre Methode, sich an die bestehende Jugendkultur anzuschließen, wird heute von vielen Rechten systematisch genutzt.",B2,16
"Fahad und ich kamen zum Studieren nach Deutschland, wir sind beide People of Colour.",B2,14
Durch diesen Ziegel-Look erhalten wir ’ne ganz neue Oberfläche .,B2,10
Eckhard Ahmed Krausen hat die Moschee vor mehr als zwanzig Jahren schon einmal fotografiert.,B2,14
"Auch im hohen Alter ist Biggi Fahnenschreiber noch begeistert von ihrem Beruf, die Arbeit hält sie jung.",B2,17
"Es ist sehr leicht und sehr fruchtig, ohne dominant in der Säure zu sein.",B2,14
Auch vor Ort werden rechte Ideen verbreitet – zum Beispiel auf Dorffesten oder beim Kaffee- und Würstchenverkauf.,B2,17
Sie funktionieren nach außen.,B2,4
"Aber ganz ehrlich: Wenn ihr mal angebissen habt, werdet ihr mich nie wieder vergessen.",B2,14
"Denn junge Briten können mit den Traditionen, der jahrhundertealten Staatsform, einer Königin oder einem König immer weniger anfangen .",B2,19
Fischerboote selbst legen im Hamburger Hafen nicht mehr an .,B2,10
Es fehlt jedoch nicht nur an Kriegsgerät : Die Bundeswehr hat auch viel zu wenig Personal.,B2,16
Die Weltgesundheitsorganisation (WHO) empfiehlt deswegen eine Sondersteuer auf zuckerhaltige Getränke und Limonaden.,B2,12
"Das Besondere: Laut dem deutschen Reinheitsgebot dürfen nur Hopfen , Malz , Wasser und Hefe ins Bier.",B2,17
"Da bleibt der Strunk hart, und das ist halt eben nicht die gute Qualität.",B2,14
Wir arbeiten hier in Deutschland mit Ikea und UPS zusammen.,B2,10
"Michael Lembke braut alkoholfreies Brotbier aus Backwaren, die sonst im Müll gelandet wären.",B2,13
Überwachung von chinesischen Auslandsstudierenden China hat großen Einfluss auf seine Bürger – auch über die Grenzen hinaus.,B2,17
"Studierende, die im Ausland für Demokratie demonstrieren, werden beobachtet und bedroht.",B2,11
"Jedes Jahr vor Beginn der Klettersaison im Mai prüfen Spezialisten die Bedingungen auf dem Berg, um einen möglichst sicheren Weg für die Kletterteams zu finden.",B2,25
Doch jetzt soll die Nachtruhe zur Nachtschicht werden.,B2,8
Denn das sogenannte Waldbaden stärkt die Gesundheit und reduziert Stress.,B2,10
"„Viele Menschen mit Down-Syndrom leben im Erwachsenenalter in Wohngemeinschaften “, sagt Hammersen.",B2,12
"Zusammen arbeiten wir an der Vision, Städte zu verändern, ihnen zu helfen, grüner, nachhaltiger und effizienter zu werden.",B2,18
"Also, in Berlin gehört ’n Döner dazu.",B2,7
Das CO2 wird dabei in ihrem Holz gebunden und gelangt außerdem über ihre Wurzeln in den Boden.,B2,17
Erneuerbare Energien sollen so schnell wie möglich ausgebaut werden.,B2,9
Schnee schmelze auf dem Mount Everest Der Klimawandel sorgt für immer härtere Bedingungen auf dem höchsten Berg der Erde.,B2,19
Viele Kinder hätten außerdem Angst.,B2,5
"In der Branche heißt es: Gut gemeint, aber nicht ausgereift .",B2,11
Wir wollen den Geschmack unseres Bieres exportieren.,B2,7
"Du solltest schwimmen können, da wir im Sommer natürlich auch gemeinsam ins Schwimmbad gehen oder mal an einen See fahren werden.",B2,21
"Ich glaube, das kann man ein bisschen vergleichen wie damals als es nur klassische Malerei gab, und dann gab es plötzlich die ersten Fotografen und Fotografinnen.",B2,26
"Als „Metapolitik“ wird diese Strategie in der rechten Rhetorik bezeichnet: Die Menschen sollen dort beeinflusst werden, wo sie sich zu Hause fühlen und unter sich sind.",B2,26
"In seiner Heimat Syrien begann ein blutiger Bürgerkrieg , 2015 beschloss er, aus dem Land zu flüchten; da war er 15 Jahre alt.",B2,23
Wir müssen als Schule dann „nur“ noch die erforderliche Infrastruktur bereit halten.,B2,12
"Wir hoffen, dass unsere Proteste rund um die Krönung stärker wahrgenommen werden.",B2,12
"Er nutzt seinen Erfolg, um in seinem Heimatland die Lebensbedingungen von Kindern zu verbessern.",B2,14
"Noch überzeugen Charles, Camilla und die Royal Family mit ihrem königlichen Glanz die Mehrheit der Briten.",B2,16
"Junge Menschen haben nicht die Möglichkeit, zu sagen: Ich möchte das machen, ich möchte das Leben der Menschen verbessern.",B2,19
Am 6. Mai 2023 wird nun in London seine Krönung offiziell gefeiert.,B2,12
"Nee, das verstehe ich tatsächlich nicht.",B2,6
/ Zuverlässig ist er ja.,B2,5
"Mein Name ist Andrea Müller und meine Familie lebt nicht gemeinsam an einem Ort, sondern ist über mehrere Bundesländer innerhalb Deutschlands verstreut.",B2,22
"Also wie ein ‚Essvertrag‘ zum Beispiel aussieht, der nämlich vorschreibt, wie viel Gewichtszunahme pro Woche im Schnitt erfolgen sollte; der auch vorschreibt, wie die Kalorienaufnahme zum Beispiel erfolgen sollte.",B2,29
Die UN bezeichnen den Klimawandel daher als Krise der Kinderrechte.,B2,10
"Es ist wohl die dümmste Kreuzung von Berlin: Wer hier, nahe der Museumsinsel , die Straße überqueren will, muss einen langen Umweg in Kauf nehmen – etwa 200 Meter.",B2,29
Baron de Coubertin starb 1937: Während eines Spaziergangs im schweizerischen Genf blieb sein Herz stehen.,B2,15
Und wie steht Russlands Wirtschaft heute da?,B2,7
Die Herstellung ist aber umweltschädlich und die Rohstoffe werden knapp.,B2,10
„Eine Flucht ist kein Umzug“.,B2,5
Deshalb musste jemand zurück und ihn holen.,B2,7
Spuren des Orts fand man erst Anfang des 20. Jahrhunderts.,B2,10
"Heute sind sie ein Paar und sogar Nachbarn, jeder mit seinem eigenen Tiny House.",B2,14
"Gleichzeitig hat Deutschland den großen Vorteil, dass die technischen Universitäten sehr unterstützend wirken.",B2,13
Mobiles Lernen kann wunderbar in bestehende Konzepte des schulischen Online-Lernens eingefügt werden.,B2,12
"‘ Also, er ist in einem Dauermangelzustand.",B2,7
"So konnte vorrangig, primär, ein großer Teil der Lohnkosten gedeckt werden.",B2,11
Dabei erinnerte er auch an die 100 Jahre andauernden diplomatischen Beziehungen zwischen Deutschland und der Türkei.,B2,16
"Angst, dass Kritik die Schullaufbahn ihrer Kinder gefährden könnte?",B2,9
Demnach arbeiten Deutsche viel weniger als andere.,B2,7
"Der Ingenieur William Murdoch will die seit dem 17. Jahrhundert
bekannte Theorie von der Gasbeleuchtung in die Praxis umsetzen- und entwickelt 1802 ein Beleuchtungssystem für eine Fabrik in Soho.",B2,29
"Auch das Gewölbe wurde beschädigt, weshalb man die Fenster ausbauen musste.",B2,11
"Topmodel Alpha Dia: der schwierige Weg zum Erfolg Sein Lebensweg begann im westafrikanischen Senegal, mit elf Jahren kam er nach Hamburg.",B2,21
"Außerdem wurde er bei der Polizei entlassen, weil er für einige tödliche Gewalttaten mitverantwortlich sein soll.",B2,16
"Auch schaffte es Biden oft nicht, bei seinen eigenen Themen zu punkten – zum Beispiel, als es um das Recht auf Abtreibung ging.",B2,23
"Und für mich bedeutet das auch sehr viel mehr auf ’ne Art und Weise: seinen Weg gehen , seine Sachen machen.",B2,21
"Ich mach meinen Döner komplett , sprich : Kräuter , Knoblauch .",B2,12
Nach Bedarf kann der Lehrende einen Satz von Laptops bestellen und bekommt ihn in seinen Raum geliefert oder bewegt sich in den Computerraum.,B2,23
"Ob Salat oder Zwiebeln, Hähnchen- oder Rindfleisch: Den Kundinnen und Kunden erfüllen er und sein Team jeden Essenswunsch.",B2,18
"Für die frühere Pfarrerin der Kirchengemeinde, Elke Unterdörfel, war das besonders wichtig: „Dass diese muslimischen Familien auch unsere Kirche wahrnehmen, unsere Gemeinde wahrnehmen und auch mitnutzen und das auch als mit ihrs betrachten.",B2,33
"Also muss der Umgang mit Smartphones in der Schule geklärt werden, denn meist steht in der Schulordnung zu lesen: „Die Benutzung von elektronischen/technischen Geräten wie Handys, Playern, Smartphones, Kopfhörern, Spielekonsolen, Laptops etc.",B2,32
So müssen die Teams in der aktuellen Saison an einem instabilen Hängegletscher vorbei.,B2,13
"Ein Archiv für die Ewigkeit In einer Zeit, in der die meisten Menschen ihre Informationen digital speichern, ist Martin Kunze misstrauisch.",B2,21
Ein Zelt ist von den Behörden geschickt worden.,B2,8
"Den Namen „Deutsche Schabe“ hat die Kakerlake von dem Naturforscher Carl von Linné bekommen, der sie 1776 in Deutschland zum ersten Mal wissenschaftlich untersucht hat.",B2,25
Entwickelt wurde sie von Philipp Kreicarek.,B2,6
Es wird sich wohl eine unserer Mitarbeiterinnen da verewigen mit ihrem Fingerabdruck .,B2,13
"Deutschland gab immer weniger Geld für Verteidigung aus, allerdings schickte man deutsche Soldaten  zur  Friedenssicherung in Kriegsgebiete.",B2,17
Häuser zum Schnäppchen preis Es klingt sehr verlockend : In vielen Länder Europas kann man für wenig Geld ein Haus oder ein Grundstück kaufen.,B2,24
Der liegt bei 30 bis 40 Prozent.,B2,7
"In Frankfurt steht auch das Goethehaus, das Geburtshaus des berühmten deutschen Dichters Johann Wolfgang von Goethe.",B2,16
Mit dieser Erfindung bräuchte ich nur Wasser und das Pulver.,B2,10
Da haben wir keine Chance gehabt.,B2,6
"Zweitens: Ein Rechner für einen Nutzer, d. h. ein egalitäres Prinzip, da jeder in der Schule seinen Rechner immer zur Hand hat.",B2,22
Viele Sportartikel-Hersteller haben diese Influencer bereits als Werbeträger erkannt und arbeiten gerne mit ihnen zusammen.,B2,15
"Hier kann Architektur Spaß machen, hier dürfen Farben und Formen wieder zum Einsatz kommen.",B2,14
"Doch sie loszuwerden ist nicht einfach: Sie kommen fast überall hin, denn sie können durch kleinste Ritzen laufen und Wände hochklettern.",B2,21
"Marie-Christine Statz hat es geschafft, sich in der harten Modebranche mit ihrer Kleidung einen Namen zu machen.",B2,17
"Das Gehirn hatte die Verbindung verstanden, kapiert.",B2,7
Singen hilft aber auch bei Schlafproblemen und wirkt tumorhemmend .,B2,10
"Ein Grund, warum er 1925 zurücktrat, war auch die Öffnung der Spiele für Frauen.",B2,14
Doch nach dem Angriff Russlands auf die Ukraine hat sich das geändert.,B2,12
Geräusche können sogar die Aktivität von Genen verändern.,B2,8
"Etwa 40 Proben bekommt der Dienst wöchentlich, erzählt Mitarbeiter Tibor Harrach.",B2,11
"Doch wie kann man an andere Opfer von Verbrechen erinnern, die zum Beispiel in der deutschen Kolonialzeit begangen wurden?",B2,19
"Da richten wir uns nach den Bedürfnissen, nach den Interessen der Nutzer.",B2,12
"Ich bin jetzt mit Austauschschülern und Kolleginnen und Kollegen aus Madrid [hier], und wir müssen mit den 40 Schülern jetzt hier so eine Runde laufen .",B2,26
Wer kommt auf so eine Idee?,B2,6
Viele solcher Fragen werden im EU-Parlament entschieden.,B2,7
Zum Beispiel prüfen wir hier die Belastung der Bremsen auf Fehler.,B2,11
"Er wollte her- ausfinden, ob es ihre Leistungsfähigkeit positiv beeinflusst.",B2,10
"Sie glaubt: „Wir werden mehr Hochleistungssportler haben, die indigene Völker repräsentieren .",B2,12
"Der Verleih bei Madrid hat alles im Angebot, was man sich vorstellen kann.",B2,13
Im vergangenen Jahr sind etwa 20. 000 Menschen in Deutschland an unspezifischen Lungenentzündungen gestorben.,B2,14
Zwei Jahre lang arbeitete er mit seinem Team an der Formel für das Bierpulver.,B2,14
Oft geht es dabei scheinbar gar nicht um Politik.,B2,9
Italien hat 2019 als erstes Land der Welt ein Schulfach zum Thema Klimawandel in den Lehrplan aufgenommen.,B2,17
2015 kehrte ich dann wieder nach Deutschland zurück .,B2,9
"Staatliche Sicherheitsbeamte hätten ihm gesagt, dass er Rowan von ihrem Engagement abhalten soll.",B2,13
AfD auf TikTok: erfolgreich bei Jugendlichen Im Juni 2024 ist Europawahl.,B2,11
Auch gut gemeinte Ratschläge als Reaktion auf das Stottern sind wenig hilfreich.,B2,12
Man setzt auf Freiwilligkeit.,B2,4
"Das macht es unerlässlich , den Schülern beizubringen , wie sie Fake-News von der Wahrheit unterscheiden können“, sagt sie.",B2,19
"Seit einigen Jahren kommen nicht nur Gläubige in die Kirche, sondern auch Menschen, die sich für ein besonderes Bild auf einem der Kirchenfenster interessieren.",B2,24
"Die Fabrikanten brauchen mehr Helligkeit als je zuvor, und sie brauchen sie möglichst Tag und Nacht.",B2,16
"Produkte, die zum Teil wieder auf den europäischen Markt kommen und dort teuer verkauft werden.",B2,15
"Das heißt, es ist eher eine Möglichkeit, jetzt diese unmittelbaren Auswirkungen zu begrenzen für Russland, aber es ist eben kein Zukunftsmodell und kein Ersatz für den Westen.",B2,27
Die letzte Fahrt: zum Friedhof mit dem Lastenrad In der Schweiz ist es ein Novum : das Bestattervelo.,B2,18
Notre-Dame : Wie Köln bei der Restaurierung hilft Bei einem Brand im Jahr 2019 wurde die weltberühmte Kirche Notre-Dame de Paris schwer beschädigt.,B2,23
"Religion in der Kita Was bedeutet Ostern für die Christen, was Ramadan für die Moslems?",B2,15
"Um die Zahl der Touristen zu beschränken , braucht es daher Abkommen mit Fluggesellschaften, Flughäfen und Häfen, sagt Paul Peeters.",B2,20
Jetzt werden zum Teil Autos ohne Airbags produziert.,B2,8
Das wird in Hannover im Norden Deutschlands aufgestellt .,B2,9
"Wenn ein Parkticket abgelaufen ist, ist es eben abgelaufen und das muss geahndet werden.",B2,14
Zwei Wochen nach Eintritt der Lähmung hab’ ich das erste Tanz- Improvisations -Video gedreht.,B2,14
Denn global werden nur zwei Prozent der Baustoffe wiederverwertet .,B2,10
1994 wurde der Paragraf – auch auf Druck der ostdeutschen Bundesländer – endgültig abgeschafft .,B2,15
Das ist eine Jacke aus den 1930er-Jahren.,B2,7
Denn ab 1915 wurde die Religionsgemeinschaft immer wieder politisch verfolgt – hunderttausende Menschen starben.,B2,14
Viele Jugendliche informieren sich anders als die Generation ihrer Eltern vor allem über Social Media – auch wenn es um Parteien geht.,B2,22
"Die alte Stadt ist noch immer ein vielstimmiges Kunstwerk, das aber meist ganz von der Vergangenheit erzählt.",B2,17
Aber da fehlt auch in der Tat Kapital.,B2,8
"Er musste sogar eine Powerpoint-Präsentation abliefern, dann wurde er genommen.",B2,10
Dann ist es sozusagen ein doppeltes Top.,B2,7
"Er möchte aber auch die koloniale Kontinuität zeigen, „die über die Kolonialzeit hinaus in die NS-Zeit hineinreicht .",B2,18
"„Deutschland hat eine sehr hohe Frauenerwerbsquote im Vergleich zu den meisten anderen Ländern“, erklärt er.",B2,15
"Viele der rund 900. 000 chinesischen Auslandsstudierenden erleben aktuell ähnliche Dinge, so die Menschenrechtsorganisation Amnesty International.",B2,16
"In dem Stück geht es auch darum, im Leben immer wieder Halt zu finden .",B2,15
Doch so ein Dauerstress kann zu einer chronischen Überlastung führen: zu einem Burn-on.,B2,13
Trotz der großen Gefahren versuchen hunderte Menschen jedes Jahr den Aufstieg.,B2,11
Wie zum Beispiel in der Schuhfabrik: Hier werden monatlich Hunderte neue Schuhe angefertigt .,B2,14
Anders als beim Burn-out scheinen die Betroffenen nach außen zu funktionieren.,B2,11
"Mit Farbe, Form und Zutaten experimentieren sie, um den Recycling anteil zu erhöhen.",B2,13
"Ich würde sehr gern in der Nähe meiner Eltern leben, da diese mittlerweile auch ziemlich alt sind und sicherlich bald Unterstützung benötigen.",B2,22
"Der Grund dafür ist, dass ich eine Familie gegründet habe.",B2,10
Der Historiker und Türkei-Experte Rasim Marz sagt: „Die Türkei […] wurde zur Zufluchtsstätte für viele verfolgte Akademiker .,B2,18
Deshalb machen wir daraus ein Modell aus Leder.,B2,8
Aber das kann ich so schwer beurteilen.,B2,7
"Ich glaube, ich weiß jetzt, was es heißt, Marktschreier auf dem Hamburger Fischmarkt zu sein.",B2,15
"Also es gibt eigentlich kaum eine Pille, die so einen gesundheitlichen Vorteil hat für den Körper wie ein Rauchstopp.",B2,19
In den 22 Lagerhallen von „Peris Costumes“ verstecken sich auch einige historische Kleidungsstücke.,B2,13
Den Roboter hat das Berliner Startup Aitme entwickelt.,B2,8
"Die Maschine ist vor allem für Mitarbeiter interessant, die schnell etwas essen wollen.",B2,13
"Gangs haben die Macht übernommen, eine Regierung gibt es nicht mehr, auf den Straßen herrscht Gewalt.",B2,16
Unser Fernstudium „Literarisches Schreiben“ vermittelt die Grundzüge literarischen Schreibens.,B2,9
Die Modewelt verändert sich – und zieht so viele Menschen an wie nie zuvor.,B2,14
"Ich mache es auch solang’, bis ich den hier machen muss.",B2,11
"Dass gemeinsames Singen das Gemeinschaftsgefühl stärkt, etwa bei der Arbeit oder im Chor, gilt als bewiesen : Nach mehr als einer halben Stunde gemeinsamen Gesangs produziert das Gehirn das Hormon Oxytocin, das die Beziehung zu anderen Menschen stärkt.",B2,38
Seitdem gilt sie als Mutter der Mariechen.,B2,7
Und sie tingelt bis in die späten 1960er-Jahre durch Europa und die USA.,B2,13
"Er bat den Künstler JoKarl Huber, dessen Kunst während der NS-Zeit als „ entartet “ galt, die Kirche zu renovieren .",B2,21
Sie verlässt sich auf ihre mentale Stärke und andere körperliche Fähigkeiten.,B2,11
"Das heißt: Man sieht, was man kocht.",B2,7
"Schwalben steigen hoch in die Lüfte, so dass sie die Menschen sehen können, die sie kennen und mit denen sie sich in den vergangenen Jahren angefreundet haben.",B2,27
Sie werden von einem Akademielektor betreut.,B2,6
"Einige Immobilien werden sogar kostenlos angeboten, wenn man keine  Besitzerin oder keinen Besitzer mehr finden kann und sich niemand anderes für sie interessiert.",B2,23
Die Aufsicht über die Beleuchtung obliegt der Straßenpolizei.,B2,8
In ihrem Firmensitz im Zentrum von Paris beschäftigt sie zwischen zwölf und 15 Mitarbeitende.,B2,14
Zusammengewürfelt aus Millionen Fotos realer Menschen aus dem Netz .,B2,10
"Viele Medien und auch einige Politikerinnen und Politiker fordern sogar, dass Biden Platz für eine jüngere Person macht – es wäre das erste Mal so kurz vor einer Wahl.",B2,29
"Man kann vielleicht meinen Körper verändern, aber man kann den Tanz nicht aus meiner Seele und aus meinem Herz rausschneiden.",B2,20
"Ein Unternehmen aus Belgien hat nun eine spezielle Technik entwickelt, mit der Schiffe auch vom Büro aus gesteuert werden können.",B2,20
"“ Laut der australischen Forschungsorganisation CSIRO wird die Fläche, auf der Kaffeeanbau möglich ist, bis 2050 um die Hälfte schrumpfen .",B2,21
Hier testen wir die erste Vormontage der Anhänger.,B2,8
"Wir sind jetzt da im Salzberg von Hallstatt, dem ältesten Salzbergwerk der Welt, und fahren jetzt mit diesem alten Grubenzug in den Berg hinein, circa 500 Meter.",B2,27
